|num_modes|1st mode|1st mode Cnt|1st mode %|2nd mode|2nd mode Cnt|2nd mode %|3rd mode|3rd mode Cnt|3rd mode %|4th mode|4th mode Cnt|4th mode %|max len|min len|nan Cnt|nan %|nunique
CentralAir|2|Y|2723.0|93.29|N|196.0|6.71|||||||1|1|0|0.0|2
Electrical|5|SBrkr|2671.0|91.5|FuseA|188.0|6.44|FuseF|50.0|1.71|FuseP|8.0|0.27|5|3|1|0.03|5
KitchenQual|4|TA|1492.0|51.11|Gd|1151.0|39.43|Ex|205.0|7.02|Fa|70.0|2.4|2|2|1|0.03|4
Functional|7|Typ|2717.0|93.08|Min2|70.0|2.4|Min1|65.0|2.23|Mod|35.0|1.2|4|3|2|0.07|7
FireplaceQu|5|Gd|744.0|25.49|TA|592.0|20.28|Fa|74.0|2.54|Po|46.0|1.58|2|2|1420|48.65|5
GarageType|6|Attchd|1723.0|59.03|Detchd|779.0|26.69|BuiltIn|186.0|6.37|Basment|36.0|1.23|7|6|157|5.38|6
GarageFinish|3|Unf|1230.0|42.14|RFn|811.0|27.78|Fin|719.0|24.63||||3|3|159|5.45|3
GarageQual|5|TA|2604.0|89.21|Fa|124.0|4.25|Gd|24.0|0.82|Po|5.0|0.17|2|2|159|5.45|5
GarageCond|5|TA|2654.0|90.92|Fa|74.0|2.54|Gd|15.0|0.51|Po|14.0|0.48|2|2|159|5.45|5
PavedDrive|3|Y|2641.0|90.48|N|216.0|7.4|P|62.0|2.12||||1|1|0|0.0|3
PoolQC|3|Gd|4.0|0.14|Ex|4.0|0.14|Fa|2.0|0.07||||2|2|2909|99.66|3
Fence|4|MnPrv|329.0|11.27|GdPrv|118.0|4.04|GdWo|112.0|3.84|MnWw|12.0|0.41|5|4|2348|80.44|4
MiscFeature|4|Shed|95.0|3.25|Gar2|5.0|0.17|Othr|4.0|0.14|TenC|1.0|0.03|4|4|2814|96.4|4
SaleType|9|WD|2525.0|86.5|New|239.0|8.19|COD|87.0|2.98|ConLD|26.0|0.89|5|2|1|0.03|9
SaleCondition|6|Normal|2402.0|82.29|Partial|245.0|8.39|Abnorml|190.0|6.51|Family|46.0|1.58|7|6|0|0.0|6
Dataset|2|train|1460.0|50.02|test|1459.0|49.98|||||||5|4|0|0.0|2
