YearRemodAdd|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1980|logSalePrice|26|12|143.04|11.92|11.92|11.86||14|53.85|0.06|0.25|0|0.0|0|0.0|12|46.15|14|53.85|11|11.61|12.47|0.86|11.76|11.98|0.21|1.0|0.13
1981|logSalePrice|12|8|96.75|12.09|12.09|12.06||4|33.33|0.07|0.27|0|0.0|0|0.0|8|66.67|4|33.33|7|11.61|12.54|0.93|12.03|12.17|0.14|-0.12|0.01
1982|logSalePrice|9|7|81.79|11.68|11.68|11.81||2|22.22|0.05|0.23|0|0.0|0|0.0|7|77.78|2|22.22|7|11.34|11.88|0.54|11.54|11.83|0.29|-0.83|-1.16
1983|logSalePrice|11|5|59.13|11.83|11.83|11.81||6|54.55|0.0|0.05|0|0.0|0|0.0|5|45.45|6|54.55|4|11.78|11.88|0.09|11.79|11.88|0.09|0.31|-1.8
1984|logSalePrice|19|7|84.71|12.1|12.1|12.14||12|63.16|0.06|0.25|0|0.0|0|0.0|7|36.84|12|63.16|7|11.74|12.43|0.69|11.93|12.27|0.34|-0.21|-1.21
1985|logSalePrice|14|9|107.91|11.99|11.99|11.98||5|35.71|0.09|0.29|0|0.0|0|0.0|9|64.29|5|35.71|9|11.63|12.52|0.9|11.7|12.1|0.41|0.39|-0.75
1986|logSalePrice|12|5|60.72|12.14|12.14|12.12||7|58.33|0.02|0.14|0|0.0|0|0.0|5|41.67|7|58.33|5|12.03|12.37|0.34|12.04|12.15|0.11|0.98|-0.43
1987|logSalePrice|14|8|96.41|12.05|12.05|12.05||6|42.86|0.07|0.26|0|0.0|0|0.0|8|57.14|6|42.86|8|11.71|12.43|0.72|11.84|12.18|0.34|0.27|-1.17
1988|logSalePrice|15|9|109.27|12.14|12.14|12.19||6|40.0|0.04|0.19|0|0.0|0|0.0|9|60.0|6|40.0|9|11.84|12.39|0.55|12.07|12.25|0.18|-0.4|-0.99
1989|logSalePrice|18|11|133.94|12.18|12.17|12.1||7|38.89|0.05|0.21|0|0.0|0|0.0|11|61.11|7|38.89|11|11.87|12.53|0.66|12.05|12.3|0.25|0.56|-0.81
1990|logSalePrice|26|12|144.12|12.01|12.01|12.06||14|53.85|0.08|0.28|0|0.0|0|0.0|12|46.15|14|53.85|12|11.61|12.48|0.87|11.79|12.14|0.34|0.04|-0.99
1991|logSalePrice|29|14|169.28|12.09|12.09|12.1||15|51.72|0.08|0.28|0|0.0|0|0.0|14|48.28|15|51.72|14|11.59|12.51|0.93|11.93|12.31|0.38|-0.24|-0.92
1992|logSalePrice|32|17|204.42|12.02|12.02|12.04||15|46.88|0.06|0.25|0|0.0|0|0.0|17|53.12|15|46.88|17|11.45|12.47|1.02|11.9|12.15|0.25|-0.37|0.29
1993|logSalePrice|39|15|181.03|12.07|12.07|12.1||24|61.54|0.05|0.23|0|0.0|0|0.0|15|38.46|24|61.54|13|11.56|12.47|0.91|11.99|12.15|0.16|-0.67|0.31
1994|logSalePrice|50|19|231.49|12.18|12.18|12.21||31|62.0|0.06|0.25|0|0.0|0|0.0|19|38.0|31|62.0|19|11.74|12.58|0.84|12.05|12.37|0.32|-0.38|-0.72
1995|logSalePrice|52|27|324.3|12.01|12.01|11.9||25|48.08|0.08|0.29|0|0.0|0|0.0|27|51.92|25|48.08|25|11.51|12.58|1.06|11.81|12.18|0.37|0.68|-0.52
1996|logSalePrice|55|32|383.98|12.0|11.99|12.02||23|41.82|0.11|0.32|0|0.0|0|0.0|32|58.18|23|41.82|32|11.3|12.61|1.31|11.84|12.19|0.35|-0.2|-0.45
1997|logSalePrice|46|22|267.45|12.16|12.15|12.22||24|52.17|0.07|0.27|0|0.0|0|0.0|22|47.83|24|52.17|21|11.59|12.57|0.98|12.06|12.34|0.28|-0.69|-0.18
1998|logSalePrice|72|31|376.21|12.14|12.13|12.17||41|56.94|0.06|0.24|0|0.0|0|0.0|31|43.06|41|56.94|30|11.29|12.54|1.25|12.0|12.27|0.27|-1.21|2.97
1999|logSalePrice|57|27|327.71|12.14|12.14|12.12||30|52.63|0.03|0.16|0|0.0|0|0.0|27|47.37|30|52.63|24|11.76|12.5|0.74|12.08|12.25|0.17|-0.42|0.81
2000|logSalePrice|101|52|626.96|12.06|12.05|12.06||49|48.51|0.07|0.27|0|0.0|0|0.0|52|51.49|49|48.51|50|11.4|12.56|1.16|11.9|12.28|0.38|-0.16|-0.48
2001|logSalePrice|49|21|254.73|12.13|12.13|12.23||28|57.14|0.06|0.25|0|0.0|0|0.0|21|42.86|28|57.14|21|11.75|12.47|0.72|11.88|12.33|0.45|-0.4|-1.39
2002|logSalePrice|78|44|535.62|12.17|12.17|12.23||34|43.59|0.1|0.32|0|0.0|0|0.0|44|56.41|34|43.59|39|11.36|12.59|1.23|12.05|12.35|0.3|-1.01|0.45
2003|logSalePrice|96|48|579.28|12.07|12.06|12.12||48|50.0|0.09|0.3|0|0.0|0|0.0|48|50.0|48|50.0|46|10.86|12.59|1.73|11.87|12.27|0.41|-1.27|3.47
2004|logSalePrice|107|58|700.58|12.08|12.08|12.09||49|45.79|0.08|0.28|0|0.0|0|0.0|58|54.21|49|45.79|51|11.2|12.56|1.36|11.89|12.29|0.4|-0.38|0.46
2005|logSalePrice|131|63|764.4|12.13|12.13|12.13||68|51.91|0.06|0.25|0|0.0|0|0.0|63|48.09|68|51.91|55|11.61|12.54|0.93|11.92|12.34|0.43|0.05|-0.98
2006|logSalePrice|184|79|959.01|12.14|12.14|12.18||105|57.07|0.1|0.31|0|0.0|0|0.0|79|42.93|105|57.07|77|11.28|12.58|1.3|11.99|12.39|0.4|-0.89|0.31
2007|logSalePrice|147|59|714.8|12.12|12.11|12.14||88|59.86|0.09|0.3|0|0.0|0|0.0|59|40.14|88|59.86|55|11.07|12.58|1.5|11.96|12.33|0.37|-0.89|1.2
2008|logSalePrice|64|23|279.14|12.14|12.13|12.24||41|64.06|0.12|0.35|0|0.0|0|0.0|23|35.94|41|64.06|23|11.48|12.6|1.12|11.84|12.42|0.58|-0.3|-1.24
2009|logSalePrice|27|16|196.45|12.28|12.28|12.32||11|40.74|0.04|0.19|0|0.0|0|0.0|16|59.26|11|40.74|16|11.84|12.57|0.73|12.18|12.42|0.23|-0.72|-0.03
2010|logSalePrice|10|3|36.58|12.19|12.19|12.32||7|70.0|0.15|0.39|0|0.0|0|0.0|3|30.0|7|70.0|3|11.75|12.5|0.75|12.04|12.41|0.38|-0.53|-1.5
