OpenPorchSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
36|logSalePrice|50|27|326.74|12.1|12.1|12.13||23|46.0|0.07|0.26|0|0.0|0|0.0|27|54.0|23|46.0|26|11.44|12.57|1.13|11.97|12.28|0.31|-0.49|0.13
37|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
38|logSalePrice|19|8|97.09|12.14|12.14|12.06||11|57.89|0.02|0.15|0|0.0|0|0.0|8|42.11|11|57.89|8|12.02|12.45|0.43|12.04|12.19|0.15|1.27|0.3
39|logSalePrice|23|12|146.05|12.17|12.17|12.16||11|47.83|0.07|0.27|0|0.0|0|0.0|12|52.17|11|47.83|12|11.6|12.55|0.95|12.09|12.38|0.29|-0.64|-0.1
40|logSalePrice|43|18|216.42|12.02|12.02|12.04||25|58.14|0.05|0.21|0|0.0|0|0.0|18|41.86|25|58.14|15|11.78|12.5|0.72|11.83|12.09|0.26|0.65|-0.32
41|logSalePrice|4|2|24.11|12.06|12.06|12.06||2|50.0|0.01|0.1|0|0.0|0|0.0|2|50.0|2|50.0|2|11.98|12.13|0.14|12.02|12.09|0.07|0.0|-2.0
42|logSalePrice|17|10|121.05|12.11|12.1|12.16||7|41.18|0.1|0.32|0|0.0|0|0.0|10|58.82|7|41.18|10|11.58|12.6|1.02|12.01|12.3|0.28|-0.42|-0.61
43|logSalePrice|6|2|24.47|12.23|12.23|12.23||4|66.67|0.05|0.22|0|0.0|0|0.0|2|33.33|4|66.67|2|12.08|12.39|0.31|12.16|12.31|0.15|0.0|-2.0
44|logSalePrice|19|12|146.09|12.17|12.17|12.23||7|36.84|0.1|0.32|0|0.0|0|0.0|12|63.16|7|36.84|12|11.78|12.6|0.82|11.85|12.44|0.59|0.01|-1.58
45|logSalePrice|25|16|195.06|12.19|12.19|12.25||9|36.0|0.08|0.28|0|0.0|0|0.0|16|64.0|9|36.0|15|11.48|12.57|1.08|12.1|12.35|0.25|-0.94|0.63
46|logSalePrice|12|5|60.59|12.12|12.11|12.18||7|58.33|0.11|0.33|0|0.0|0|0.0|5|41.67|7|58.33|5|11.61|12.51|0.9|12.09|12.21|0.12|-0.59|-0.48
47|logSalePrice|4|3|36.71|12.24|12.23|12.53|12.59|1|25.0|0.32|0.56|0|0.0|0|0.0|3|75.0|1|25.0|3|11.59|12.59|1.0|12.06|12.56|0.5|-0.7|-1.5
48|logSalePrice|49|20|242.91|12.15|12.14|12.16||29|59.18|0.05|0.23|0|0.0|0|0.0|20|40.82|29|59.18|20|11.67|12.44|0.77|11.98|12.32|0.33|-0.51|-0.75
49|logSalePrice|9|3|36.08|12.03|12.03|11.96||6|66.67|0.03|0.17|0|0.0|0|0.0|3|33.33|6|66.67|3|11.9|12.22|0.32|11.93|12.09|0.16|0.59|-1.5
50|logSalePrice|27|11|132.98|12.09|12.09|12.01||16|59.26|0.09|0.3|0|0.0|0|0.0|11|40.74|16|59.26|11|11.74|12.58|0.84|11.87|12.31|0.45|0.51|-1.16
51|logSalePrice|6|5|61.18|12.24|12.23|12.15|12.1|1|16.67|0.03|0.18|0|0.0|0|0.0|5|83.33|1|16.67|5|12.08|12.49|0.41|12.1|12.36|0.26|0.55|-1.41
52|logSalePrice|11|3|36.14|12.05|12.04|12.01||8|72.73|0.22|0.46|0|0.0|0|0.0|3|27.27|8|72.73|3|11.6|12.53|0.93|11.81|12.27|0.46|0.13|-1.5
53|logSalePrice|10|2|24.8|12.4|12.4|12.4||8|80.0|0.03|0.18|0|0.0|0|0.0|2|20.0|8|80.0|2|12.27|12.52|0.25|12.33|12.46|0.13|0.0|-2.0
54|logSalePrice|16|11|132.37|12.03|12.02|12.18||5|31.25|0.3|0.54|0|0.0|0|0.0|11|68.75|5|31.25|11|10.6|12.57|1.98|11.95|12.32|0.37|-1.74|2.61
55|logSalePrice|14|5|60.41|12.08|12.08|12.1||9|64.29|0.09|0.3|0|0.0|0|0.0|5|35.71|9|64.29|5|11.76|12.53|0.78|11.85|12.17|0.33|0.45|-1.0
56|logSalePrice|17|8|97.39|12.17|12.17|12.33||9|52.94|0.15|0.39|0|0.0|0|0.0|8|47.06|9|52.94|8|11.34|12.47|1.13|12.09|12.43|0.34|-1.32|0.5
57|logSalePrice|6|3|35.69|11.9|11.89|11.71||3|50.0|0.37|0.61|0|0.0|0|0.0|3|50.0|3|50.0|3|11.41|12.58|1.17|11.56|12.14|0.59|0.52|-1.5
58|logSalePrice|8|2|24.05|12.02|12.02|12.02||6|75.0|0.01|0.11|0|0.0|0|0.0|2|25.0|6|75.0|2|11.94|12.1|0.16|11.98|12.06|0.08|0.0|-2.0
59|logSalePrice|6|5|61.52|12.3|12.3|12.35|12.54|1|16.67|0.09|0.29|0|0.0|0|0.0|5|83.33|1|16.67|5|11.81|12.54|0.73|12.31|12.51|0.2|-1.1|-0.27
60|logSalePrice|27|13|159.25|12.25|12.25|12.34||14|51.85|0.06|0.25|0|0.0|0|0.0|13|48.15|14|51.85|12|11.83|12.52|0.7|12.1|12.45|0.35|-0.58|-1.17
61|logSalePrice|5|3|36.75|12.25|12.25|12.25||2|40.0|0.0|0.01|0|0.0|0|0.0|3|60.0|2|40.0|3|12.24|12.26|0.03|12.24|12.26|0.01|0.19|-1.5
62|logSalePrice|6|5|61.97|12.39|12.39|12.35|12.54|1|16.67|0.02|0.15|0|0.0|0|0.0|5|83.33|1|16.67|5|12.24|12.56|0.31|12.28|12.54|0.26|0.23|-1.75
63|logSalePrice|15|10|120.96|12.1|12.09|12.11||5|33.33|0.03|0.16|0|0.0|0|0.0|10|66.67|5|33.33|10|11.81|12.32|0.52|12.0|12.19|0.19|-0.29|-0.75
64|logSalePrice|23|8|95.57|11.95|11.95|11.89||15|65.22|0.03|0.19|0|0.0|0|0.0|8|34.78|15|65.22|8|11.74|12.34|0.59|11.85|11.98|0.14|1.23|0.56
65|logSalePrice|8|4|48.47|12.12|12.11|12.15||4|50.0|0.12|0.34|0|0.0|0|0.0|4|50.0|4|50.0|4|11.74|12.43|0.69|11.87|12.4|0.53|-0.12|-1.83
66|logSalePrice|7|5|60.65|12.13|12.13|12.19||2|28.57|0.05|0.22|0|0.0|0|0.0|5|71.43|2|28.57|5|11.76|12.33|0.57|12.15|12.22|0.07|-1.15|-0.12
67|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
68|logSalePrice|19|7|84.2|12.03|12.03|12.1||12|63.16|0.04|0.19|0|0.0|0|0.0|7|36.84|12|63.16|7|11.67|12.23|0.56|11.96|12.14|0.19|-0.91|-0.25
69|logSalePrice|6|3|36.53|12.18|12.18|12.17||3|50.0|0.0|0.05|0|0.0|0|0.0|3|50.0|3|50.0|3|12.13|12.23|0.1|12.15|12.2|0.05|0.21|-1.5
70|logSalePrice|14|7|85.19|12.17|12.17|12.18||7|50.0|0.04|0.2|0|0.0|0|0.0|7|50.0|7|50.0|7|11.89|12.51|0.62|12.06|12.24|0.18|0.3|-0.59
72|logSalePrice|19|9|109.17|12.13|12.13|12.17||10|52.63|0.13|0.36|0|0.0|0|0.0|9|47.37|10|52.63|9|11.4|12.57|1.17|12.03|12.33|0.3|-0.81|-0.03
73|logSalePrice|8|3|36.84|12.28|12.28|12.27||5|62.5|0.0|0.03|0|0.0|0|0.0|3|37.5|5|62.5|3|12.25|12.31|0.06|12.26|12.29|0.03|0.47|-1.5
74|logSalePrice|9|4|48.33|12.08|12.07|12.16||5|55.56|0.21|0.46|0|0.0|0|0.0|4|44.44|5|55.56|4|11.46|12.55|1.08|11.9|12.34|0.44|-0.51|-1.08
75|logSalePrice|15|8|97.77|12.22|12.22|12.13||7|46.67|0.04|0.19|0|0.0|0|0.0|8|53.33|7|46.67|8|12.08|12.54|0.46|12.11|12.25|0.14|1.11|-0.68
76|logSalePrice|4|2|24.07|12.03|12.03|12.03||2|50.0|0.01|0.08|0|0.0|0|0.0|2|50.0|2|50.0|2|11.98|12.09|0.12|12.01|12.06|0.06|0.0|-2.0
77|logSalePrice|5|1|12.21|12.21|12.21|12.21||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|12.21|12.21|0.0|12.21|12.21|0.0|0.0|-3.0
78|logSalePrice|8|5|60.3|12.06|12.06|11.95||3|37.5|0.09|0.29|0|0.0|0|0.0|5|62.5|3|37.5|5|11.88|12.58|0.7|11.92|11.97|0.05|1.45|0.19
80|logSalePrice|14|7|84.4|12.06|12.05|11.92||7|50.0|0.09|0.3|0|0.0|0|0.0|7|50.0|7|50.0|7|11.69|12.48|0.79|11.87|12.29|0.42|0.37|-1.34
81|logSalePrice|7|3|36.82|12.27|12.27|12.28||4|57.14|0.0|0.04|0|0.0|0|0.0|3|42.86|4|57.14|3|12.23|12.31|0.08|12.25|12.29|0.04|-0.31|-1.5
82|logSalePrice|8|2|24.37|12.19|12.18|12.19||6|75.0|0.16|0.4|0|0.0|0|0.0|2|25.0|6|75.0|2|11.9|12.47|0.56|12.05|12.33|0.28|0.0|-2.0
83|logSalePrice|1|1|12.05|12.05|12.05|12.05|12.05|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.05|12.05|0.0|12.05|12.05|0.0|0.0|-3.0
84|logSalePrice|20|7|85.68|12.24|12.24|12.22||13|65.0|0.02|0.13|0|0.0|0|0.0|7|35.0|13|65.0|7|12.05|12.43|0.38|12.17|12.33|0.16|0.01|-1.01
85|logSalePrice|7|1|11.86|11.86|11.86|11.86||6|85.71|||0|0.0|0|0.0|1|14.29|6|85.71|1|11.86|11.86|0.0|11.86|11.86|0.0|0.0|-3.0
86|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
87|logSalePrice|5|3|37.01|12.34|12.34|12.34||2|40.0|0.02|0.12|0|0.0|0|0.0|3|60.0|2|40.0|3|12.21|12.46|0.25|12.28|12.4|0.12|-0.04|-1.5
88|logSalePrice|10|5|59.76|11.95|11.95|11.94||5|50.0|0.05|0.23|0|0.0|0|0.0|5|50.0|5|50.0|5|11.73|12.19|0.46|11.73|12.17|0.44|0.04|-1.75
89|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
90|logSalePrice|17|5|60.95|12.19|12.19|12.37||12|70.59|0.09|0.29|0|0.0|0|0.0|5|29.41|12|70.59|5|11.81|12.44|0.64|11.94|12.39|0.44|-0.47|-1.64
91|logSalePrice|5|1|12.21|12.21|12.21|12.21||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|12.21|12.21|0.0|12.21|12.21|0.0|0.0|-3.0
92|logSalePrice|5|1|12.1|12.1|12.1|12.1||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|12.1|12.1|0.0|12.1|12.1|0.0|0.0|-3.0
93|logSalePrice|4|1|12.18|12.18|12.18|12.18||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|12.18|12.18|0.0|12.18|12.18|0.0|0.0|-3.0
94|logSalePrice|1|1|12.13|12.13|12.13|12.13|12.13|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.13|12.13|0.0|12.13|12.13|0.0|0.0|-3.0
95|logSalePrice|5|0|0.0|||||5|100.0|||0|0.0|0|0.0|0|0.0|5|100.0|0|||||||0.0|0.0
96|logSalePrice|18|9|107.27|11.92|11.91|12.1||9|50.0|0.14|0.38|0|0.0|0|0.0|9|50.0|9|50.0|9|11.33|12.35|1.02|11.59|12.19|0.6|-0.34|-1.46
97|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
98|logSalePrice|14|10|120.58|12.06|12.05|12.13||4|28.57|0.18|0.42|0|0.0|0|0.0|10|71.43|4|28.57|10|11.29|12.58|1.29|11.76|12.38|0.62|-0.39|-0.9
99|logSalePrice|5|2|24.76|12.38|12.38|12.38||3|60.0|0.0|0.04|0|0.0|0|0.0|2|40.0|3|60.0|2|12.35|12.41|0.06|12.37|12.39|0.03|0.0|-2.0
100|logSalePrice|12|5|60.76|12.15|12.15|12.14||7|58.33|0.21|0.46|0|0.0|0|0.0|5|41.67|7|58.33|5|11.42|12.56|1.14|12.12|12.52|0.4|-0.8|-0.63
101|logSalePrice|4|1|11.42|11.42|11.42|11.42||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|11.42|11.42|0.0|11.42|11.42|0.0|0.0|-3.0
102|logSalePrice|11|3|36.11|12.04|12.04|11.98||8|72.73|0.03|0.19|0|0.0|0|0.0|3|27.27|8|72.73|3|11.89|12.25|0.36|11.93|12.11|0.18|0.54|-1.5
103|logSalePrice|6|1|12.11|12.11|12.11|12.11||5|83.33|||0|0.0|0|0.0|1|16.67|5|83.33|1|12.11|12.11|0.0|12.11|12.11|0.0|0.0|-3.0
104|logSalePrice|9|5|60.27|12.05|12.05|12.04||4|44.44|0.05|0.22|0|0.0|0|0.0|5|55.56|4|44.44|5|11.75|12.35|0.6|11.97|12.15|0.18|-0.0|-0.88
105|logSalePrice|9|3|36.73|12.24|12.24|12.26||6|66.67|0.01|0.1|0|0.0|0|0.0|3|33.33|6|66.67|3|12.13|12.34|0.21|12.2|12.3|0.1|-0.35|-1.5
106|logSalePrice|1|1|12.35|12.35|12.35|12.35|12.35|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.35|12.35|0.0|12.35|12.35|0.0|0.0|-3.0
107|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
108|logSalePrice|11|3|36.72|12.24|12.24|12.33||8|72.73|0.07|0.26|0|0.0|0|0.0|3|27.27|8|72.73|3|11.95|12.44|0.49|12.14|12.39|0.24|-0.57|-1.5
110|logSalePrice|9|5|60.41|12.08|12.08|12.11||4|44.44|0.04|0.2|0|0.0|0|0.0|5|55.56|4|44.44|5|11.77|12.3|0.53|12.01|12.21|0.19|-0.56|-0.86
111|logSalePrice|4|2|24.03|12.01|12.01|12.01||2|50.0|0.04|0.2|0|0.0|0|0.0|2|50.0|2|50.0|2|11.87|12.15|0.28|11.94|12.08|0.14|0.0|-2.0
112|logSalePrice|9|4|48.65|12.16|12.16|12.22||5|55.56|0.08|0.29|0|0.0|0|0.0|4|44.44|5|55.56|4|11.79|12.43|0.64|12.01|12.36|0.35|-0.45|-1.34
113|logSalePrice|8|4|47.57|11.89|11.89|11.88||4|50.0|0.1|0.31|0|0.0|0|0.0|4|50.0|4|50.0|4|11.61|12.2|0.59|11.63|12.14|0.52|0.02|-1.96
114|logSalePrice|9|7|85.17|12.17|12.16|12.32||2|22.22|0.16|0.4|0|0.0|0|0.0|7|77.78|2|22.22|7|11.57|12.58|1.0|11.93|12.42|0.49|-0.68|-1.17
115|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
116|logSalePrice|10|6|72.53|12.09|12.09|12.0||4|40.0|0.03|0.17|0|0.0|0|0.0|6|60.0|4|40.0|6|11.94|12.39|0.45|11.99|12.16|0.17|0.97|-0.62
117|logSalePrice|1|1|12.17|12.17|12.17|12.17|12.17|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.17|12.17|0.0|12.17|12.17|0.0|0.0|-3.0
118|logSalePrice|1|1|11.83|11.83|11.83|11.83|11.83|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.83|11.83|0.0|11.83|11.83|0.0|0.0|-3.0
119|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
120|logSalePrice|18|9|109.59|12.18|12.17|12.15||9|50.0|0.08|0.28|0|0.0|0|0.0|9|50.0|9|50.0|9|11.61|12.56|0.95|12.11|12.29|0.18|-0.46|0.15
121|logSalePrice|4|2|24.62|12.31|12.31|12.31||2|50.0|0.06|0.24|0|0.0|0|0.0|2|50.0|2|50.0|2|12.14|12.48|0.33|12.23|12.39|0.17|-0.0|-2.0
122|logSalePrice|5|3|36.85|12.28|12.28|12.23||2|40.0|0.03|0.17|0|0.0|0|0.0|3|60.0|2|40.0|3|12.15|12.47|0.32|12.19|12.35|0.16|0.57|-1.5
123|logSalePrice|3|1|12.46|12.46|12.46|12.46||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|12.46|12.46|0.0|12.46|12.46|0.0|0.0|-3.0
124|logSalePrice|3|3|36.38|12.13|12.12|12.08|12.35|1|33.33|0.04|0.2|0|0.0|0|0.0|3|100.0|0|0.0|3|11.95|12.35|0.4|12.01|12.21|0.2|0.41|-1.5
125|logSalePrice|1|1|12.01|12.01|12.01|12.01|12.01|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.01|12.01|0.0|12.01|12.01|0.0|0.0|-3.0
126|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
127|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
128|logSalePrice|4|4|47.48|11.87|11.87|11.96|12.02|1|25.0|0.05|0.23|0|0.0|0|0.0|4|100.0|0|0.0|4|11.53|12.03|0.5|11.81|12.02|0.21|-0.95|-0.86
129|logSalePrice|1|1|12.07|12.07|12.07|12.07|12.07|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.07|12.07|0.0|12.07|12.07|0.0|0.0|-3.0
130|logSalePrice|10|6|72.54|12.09|12.09|12.17||4|40.0|0.11|0.34|0|0.0|0|0.0|6|60.0|4|40.0|6|11.69|12.51|0.82|11.79|12.3|0.51|-0.24|-1.43
131|logSalePrice|2|1|12.24|12.24|12.24|12.24||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.24|12.24|0.0|12.24|12.24|0.0|0.0|-3.0
132|logSalePrice|5|2|24.3|12.15|12.15|12.15||3|60.0|0.26|0.51|0|0.0|0|0.0|2|40.0|3|60.0|2|11.79|12.51|0.72|11.97|12.33|0.36|0.0|-2.0
133|logSalePrice|3|1|12.25|12.25|12.25|12.25||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|12.25|12.25|0.0|12.25|12.25|0.0|0.0|-3.0
134|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
135|logSalePrice|2|1|12.03|12.03|12.03|12.03|12.03|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.03|12.03|0.0|12.03|12.03|0.0|0.0|-3.0
136|logSalePrice|8|3|37.18|12.39|12.39|12.38||5|62.5|0.0|0.05|0|0.0|0|0.0|3|37.5|5|62.5|3|12.35|12.45|0.1|12.37|12.42|0.05|0.3|-1.5
137|logSalePrice|2|1|12.45|12.45|12.45|12.45|12.45|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.45|12.45|0.0|12.45|12.45|0.0|0.0|-3.0
138|logSalePrice|1|1|11.98|11.98|11.98|11.98|11.98|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.98|11.98|0.0|11.98|11.98|0.0|0.0|-3.0
139|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
140|logSalePrice|6|5|60.86|12.17|12.17|12.36|11.92|1|16.67|0.14|0.38|0|0.0|0|0.0|5|83.33|1|16.67|5|11.64|12.52|0.89|11.92|12.43|0.51|-0.54|-1.37
141|logSalePrice|3|1|11.42|11.42|11.42|11.42||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.42|11.42|0.0|11.42|11.42|0.0|0.0|-3.0
142|logSalePrice|4|0|0.0|||||4|100.0|||0|0.0|0|0.0|0|0.0|4|100.0|0|||||||0.0|0.0
144|logSalePrice|11|6|71.39|11.9|11.89|11.94||5|45.45|0.1|0.32|0|0.0|0|0.0|6|54.55|5|45.45|6|11.4|12.31|0.91|11.75|12.07|0.32|-0.34|-0.82
146|logSalePrice|3|1|12.43|12.43|12.43|12.43||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|12.43|12.43|0.0|12.43|12.43|0.0|0.0|-3.0
148|logSalePrice|3|1|12.53|12.53|12.53|12.53||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|12.53|12.53|0.0|12.53|12.53|0.0|0.0|-3.0
150|logSalePrice|6|5|61.93|12.39|12.38|12.41|12.3|1|16.67|0.02|0.13|0|0.0|0|0.0|5|83.33|1|16.67|5|12.21|12.52|0.31|12.3|12.48|0.18|-0.29|-1.38
151|logSalePrice|2|2|23.68|11.84|11.83|11.84|11.3|1|50.0|0.57|0.76|0|0.0|0|0.0|2|100.0|0|0.0|2|11.3|12.37|1.07|11.57|12.11|0.54|0.0|-2.0
152|logSalePrice|3|2|24.1|12.05|12.05|12.05|11.73|1|33.33|0.21|0.46|0|0.0|0|0.0|2|66.67|1|33.33|2|11.73|12.37|0.65|11.89|12.21|0.32|-0.0|-2.0
153|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
154|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
155|logSalePrice|3|2|24.53|12.27|12.26|12.27|12.14|1|33.33|0.03|0.17|0|0.0|0|0.0|2|66.67|1|33.33|2|12.14|12.39|0.24|12.2|12.33|0.12|0.0|-2.0
156|logSalePrice|2|1|11.57|11.57|11.57|11.57|11.57|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.57|11.57|0.0|11.57|11.57|0.0|0.0|-3.0
