YearBuilt|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1920|logSalePrice|55|28|323.56|11.56|11.55|11.59||27|49.09|0.13|0.35|0|0.0|0|0.0|28|50.91|27|49.09|27|10.6|12.21|1.61|11.35|11.78|0.42|-0.46|0.49
1921|logSalePrice|11|6|70.94|11.82|11.82|11.9||5|45.45|0.08|0.28|0|0.0|0|0.0|6|54.55|5|45.45|6|11.4|12.15|0.75|11.66|11.99|0.33|-0.48|-1.08
1922|logSalePrice|16|8|92.23|11.53|11.52|11.57||8|50.0|0.17|0.41|0|0.0|0|0.0|8|50.0|8|50.0|8|10.92|12.16|1.24|11.32|11.76|0.44|-0.16|-0.88
1923|logSalePrice|17|7|83.43|11.92|11.91|12.01||10|58.82|0.15|0.39|0|0.0|0|0.0|7|41.18|10|58.82|7|11.36|12.32|0.96|11.62|12.25|0.62|-0.36|-1.46
1924|logSalePrice|16|7|80.94|11.56|11.56|11.6||9|56.25|0.02|0.15|0|0.0|0|0.0|7|43.75|9|56.25|6|11.28|11.75|0.47|11.54|11.61|0.08|-0.94|0.43
1925|logSalePrice|34|16|187.7|11.73|11.73|11.7||18|52.94|0.08|0.28|0|0.0|0|0.0|16|47.06|18|52.94|16|11.2|12.23|1.03|11.55|11.88|0.34|0.08|-0.69
1926|logSalePrice|19|9|105.13|11.68|11.68|11.65||10|52.63|0.1|0.31|0|0.0|0|0.0|9|47.37|10|52.63|8|11.29|12.36|1.07|11.53|11.69|0.15|1.14|0.75
1927|logSalePrice|9|3|33.86|11.29|11.28|11.13||6|66.67|0.1|0.32|0|0.0|0|0.0|3|33.33|6|66.67|3|11.07|11.65|0.58|11.1|11.39|0.29|0.68|-1.5
1928|logSalePrice|9|7|82.49|11.78|11.78|11.88||2|22.22|0.08|0.29|0|0.0|0|0.0|7|77.78|2|22.22|7|11.24|12.08|0.85|11.69|11.95|0.26|-1.0|-0.2
1929|logSalePrice|8|4|47.61|11.9|11.9|11.78||4|50.0|0.09|0.3|0|0.0|0|0.0|4|50.0|4|50.0|4|11.7|12.35|0.65|11.76|11.93|0.17|1.09|-0.71
1930|logSalePrice|26|9|103.52|11.5|11.5|11.42||17|65.38|0.11|0.33|0|0.0|0|0.0|9|34.62|17|65.38|8|10.92|12.0|1.09|11.37|11.7|0.33|-0.17|-0.52
1931|logSalePrice|7|6|70.32|11.72|11.72|11.77|11.76|1|14.29|0.07|0.27|0|0.0|0|0.0|6|85.71|1|14.29|6|11.28|12.04|0.76|11.61|11.88|0.27|-0.57|-0.7
1932|logSalePrice|4|3|36.67|12.22|12.22|12.3|12.3|1|25.0|0.05|0.21|0|0.0|0|0.0|3|75.0|1|25.0|3|11.98|12.38|0.4|12.14|12.34|0.2|-0.59|-1.5
1934|logSalePrice|4|2|23.8|11.9|11.9|11.9||2|50.0|0.12|0.35|0|0.0|0|0.0|2|50.0|2|50.0|2|11.65|12.15|0.5|11.77|12.02|0.25|-0.0|-2.0
1935|logSalePrice|12|5|57.67|11.53|11.52|11.34||7|58.33|0.33|0.57|0|0.0|0|0.0|5|41.67|7|58.33|5|10.86|12.37|1.51|11.3|11.8|0.5|0.4|-0.96
1936|logSalePrice|11|9|105.93|11.77|11.76|11.76|11.65|2|18.18|0.15|0.39|0|0.0|0|0.0|9|81.82|2|18.18|8|11.0|12.43|1.43|11.65|11.95|0.3|-0.34|0.38
1937|logSalePrice|9|5|58.83|11.77|11.76|11.81||4|44.44|0.06|0.25|0|0.0|0|0.0|5|55.56|4|44.44|5|11.4|12.07|0.67|11.69|11.86|0.17|-0.37|-0.74
1938|logSalePrice|13|4|46.37|11.59|11.59|11.6||9|69.23|0.02|0.15|0|0.0|0|0.0|4|30.77|9|69.23|4|11.42|11.74|0.32|11.49|11.7|0.21|-0.13|-1.71
1939|logSalePrice|19|7|82.19|11.74|11.74|11.69||12|63.16|0.04|0.2|0|0.0|0|0.0|7|36.84|12|63.16|7|11.51|12.1|0.59|11.62|11.82|0.2|0.68|-0.4
1940|logSalePrice|36|18|211.39|11.74|11.74|11.72||18|50.0|0.09|0.31|0|0.0|0|0.0|18|50.0|18|50.0|14|11.25|12.41|1.16|11.59|11.88|0.29|0.42|-0.05
1941|logSalePrice|23|15|174.39|11.63|11.62|11.64||8|34.78|0.16|0.4|0|0.0|0|0.0|15|65.22|8|34.78|15|10.87|12.49|1.62|11.42|11.79|0.37|0.2|0.14
1942|logSalePrice|6|2|23.98|11.99|11.99|11.99||4|66.67|0.02|0.14|0|0.0|0|0.0|2|33.33|4|66.67|2|11.89|12.09|0.19|11.94|12.04|0.1|0.0|-2.0
1945|logSalePrice|15|6|70.35|11.72|11.72|11.62||9|60.0|0.17|0.41|0|0.0|0|0.0|6|40.0|9|60.0|6|11.29|12.47|1.18|11.52|11.8|0.27|1.02|-0.01
1946|logSalePrice|15|7|81.32|11.62|11.61|11.78||8|53.33|0.27|0.52|0|0.0|0|0.0|7|46.67|8|53.33|7|10.58|12.21|1.63|11.53|11.85|0.32|-1.13|0.36
1947|logSalePrice|11|5|58.24|11.65|11.65|11.68||6|54.55|0.06|0.24|0|0.0|0|0.0|5|45.45|6|54.55|5|11.3|11.98|0.68|11.61|11.68|0.07|-0.16|-0.57
1948|logSalePrice|27|14|165.32|11.81|11.81|11.8||13|48.15|0.05|0.23|0|0.0|0|0.0|14|51.85|13|48.15|14|11.42|12.32|0.9|11.69|11.93|0.24|0.41|0.27
1949|logSalePrice|18|12|138.72|11.56|11.55|11.75||6|33.33|0.17|0.41|0|0.0|0|0.0|12|66.67|6|33.33|11|10.47|11.88|1.41|11.4|11.81|0.41|-1.7|2.18
1950|logSalePrice|38|20|234.63|11.73|11.73|11.73||18|47.37|0.06|0.24|0|0.0|0|0.0|20|52.63|18|47.37|19|11.31|12.4|1.09|11.61|11.85|0.25|0.78|1.49
1951|logSalePrice|18|6|70.89|11.82|11.81|11.84||12|66.67|0.02|0.16|0|0.0|0|0.0|6|33.33|12|66.67|6|11.53|12.01|0.48|11.82|11.85|0.04|-0.84|0.2
1952|logSalePrice|18|5|57.72|11.54|11.54|11.72||13|72.22|0.18|0.42|0|0.0|0|0.0|5|27.78|13|72.22|5|10.93|12.02|1.09|11.31|11.73|0.42|-0.44|-1.11
1953|logSalePrice|24|12|142.31|11.86|11.86|11.86||12|50.0|0.07|0.27|0|0.0|0|0.0|12|50.0|12|50.0|12|11.44|12.32|0.88|11.65|11.98|0.33|0.32|-0.79
1954|logSalePrice|43|24|283.43|11.81|11.81|11.79||19|44.19|0.07|0.27|0|0.0|0|0.0|24|55.81|19|44.19|23|11.44|12.45|1.01|11.63|11.86|0.23|1.08|0.68
1955|logSalePrice|34|16|188.65|11.79|11.79|11.79||18|52.94|0.04|0.2|0|0.0|0|0.0|16|47.06|18|52.94|15|11.31|12.15|0.84|11.67|11.9|0.23|-0.37|0.43
1956|logSalePrice|39|14|165.17|11.8|11.8|11.78||25|64.1|0.04|0.21|0|0.0|0|0.0|14|35.9|25|64.1|12|11.48|12.35|0.86|11.76|11.82|0.06|1.13|1.91
1957|logSalePrice|35|20|237.78|11.89|11.89|11.9||15|42.86|0.06|0.24|0|0.0|0|0.0|20|57.14|15|42.86|20|11.34|12.46|1.12|11.76|11.97|0.21|0.15|0.68
1958|logSalePrice|48|24|284.2|11.84|11.84|11.85||24|50.0|0.07|0.26|0|0.0|0|0.0|24|50.0|24|50.0|20|11.0|12.53|1.53|11.78|11.93|0.15|-0.69|4.81
1959|logSalePrice|42|25|296.83|11.87|11.87|11.87||17|40.48|0.05|0.22|0|0.0|0|0.0|25|59.52|17|40.48|24|11.29|12.57|1.28|11.79|11.94|0.15|0.52|4.08
1960|logSalePrice|35|15|179.17|11.94|11.94|11.95||20|57.14|0.04|0.19|0|0.0|0|0.0|15|42.86|20|57.14|15|11.65|12.37|0.71|11.83|12.0|0.17|0.75|0.04
1961|logSalePrice|34|14|165.74|11.84|11.84|11.84||20|58.82|0.02|0.15|0|0.0|0|0.0|14|41.18|20|58.82|14|11.5|12.09|0.59|11.77|11.89|0.12|-0.38|0.42
1962|logSalePrice|35|19|225.7|11.88|11.88|11.88||16|45.71|0.02|0.15|0|0.0|0|0.0|19|54.29|16|45.71|18|11.53|12.08|0.55|11.79|12.0|0.2|-0.62|-0.21
1963|logSalePrice|35|16|189.84|11.87|11.86|11.85||19|54.29|0.02|0.13|0|0.0|0|0.0|16|45.71|19|54.29|16|11.61|12.14|0.53|11.79|11.95|0.15|0.27|-0.08
1964|logSalePrice|33|15|179.78|11.99|11.98|12.03||18|54.55|0.02|0.15|0|0.0|0|0.0|15|45.45|18|54.55|12|11.65|12.15|0.5|11.97|12.07|0.1|-1.24|0.7
1965|logSalePrice|33|23|272.34|11.84|11.84|11.85||10|30.3|0.07|0.27|0|0.0|0|0.0|23|69.7|10|30.3|22|11.04|12.34|1.3|11.77|11.93|0.16|-0.83|1.91
1966|logSalePrice|35|18|215.09|11.95|11.95|11.95||17|48.57|0.06|0.25|0|0.0|0|0.0|18|51.43|17|48.57|17|11.58|12.52|0.94|11.76|12.07|0.31|0.42|-0.13
1967|logSalePrice|41|16|189.38|11.84|11.83|11.78||25|60.98|0.06|0.25|0|0.0|0|0.0|16|39.02|25|60.98|14|11.41|12.4|0.99|11.73|11.9|0.18|0.61|0.25
1968|logSalePrice|45|22|263.82|11.99|11.99|11.96||23|51.11|0.06|0.24|0|0.0|0|0.0|22|48.89|23|51.11|21|11.59|12.48|0.89|11.83|12.1|0.27|0.42|-0.35
1969|logSalePrice|28|14|167.57|11.97|11.97|11.94||14|50.0|0.04|0.2|0|0.0|0|0.0|14|50.0|14|50.0|14|11.6|12.31|0.72|11.84|12.09|0.25|0.1|-0.6
1970|logSalePrice|42|24|282.05|11.75|11.75|11.73||18|42.86|0.12|0.34|0|0.0|0|0.0|24|57.14|18|42.86|23|11.23|12.5|1.27|11.47|12.01|0.54|0.38|-0.6
1971|logSalePrice|38|21|245.68|11.7|11.7|11.7||17|44.74|0.06|0.24|0|0.0|0|0.0|21|55.26|17|44.74|19|11.36|12.15|0.8|11.48|11.87|0.39|0.11|-0.92
1972|logSalePrice|39|22|258.71|11.76|11.76|11.76||17|43.59|0.06|0.23|0|0.0|0|0.0|22|56.41|17|43.59|21|11.23|12.19|0.96|11.68|11.9|0.22|-0.39|0.18
1973|logSalePrice|21|11|129.62|11.78|11.78|11.81||10|47.62|0.13|0.37|0|0.0|0|0.0|11|52.38|10|47.62|11|11.33|12.4|1.08|11.47|12.02|0.55|0.19|-1.19
1974|logSalePrice|23|10|120.9|12.09|12.09|12.04||13|56.52|0.06|0.24|0|0.0|0|0.0|10|43.48|13|56.52|9|11.82|12.59|0.77|11.93|12.12|0.2|0.99|0.07
1975|logSalePrice|25|8|95.49|11.94|11.93|11.86||17|68.0|0.09|0.3|0|0.0|0|0.0|8|32.0|17|68.0|8|11.61|12.54|0.93|11.74|12.06|0.32|0.99|0.13
1976|logSalePrice|54|33|395.1|11.97|11.97|11.92||21|38.89|0.07|0.26|0|0.0|0|0.0|33|61.11|21|38.89|33|11.35|12.61|1.26|11.79|12.14|0.35|0.31|0.56
1977|logSalePrice|56|31|371.87|12.0|11.99|11.98||25|44.64|0.05|0.23|0|0.0|0|0.0|31|55.36|25|44.64|28|11.32|12.51|1.19|11.87|12.15|0.28|-0.3|1.32
1978|logSalePrice|39|16|191.53|11.97|11.97|11.94||23|58.97|0.04|0.19|0|0.0|0|0.0|16|41.03|23|58.97|16|11.63|12.43|0.8|11.9|12.03|0.13|0.65|0.55
1979|logSalePrice|21|9|107.28|11.92|11.92|11.87||12|57.14|0.09|0.3|0|0.0|0|0.0|9|42.86|12|57.14|9|11.51|12.47|0.96|11.69|12.11|0.42|0.49|-0.58
1980|logSalePrice|23|10|119.85|11.98|11.98|11.9||13|56.52|0.06|0.24|0|0.0|0|0.0|10|43.48|13|56.52|10|11.7|12.47|0.77|11.85|12.12|0.26|0.73|-0.4
1981|logSalePrice|8|4|49.06|12.27|12.26|12.23||4|50.0|0.05|0.21|0|0.0|0|0.0|4|50.0|4|50.0|4|12.08|12.54|0.46|12.11|12.39|0.28|0.38|-1.47
1982|logSalePrice|7|6|70.76|11.79|11.79|11.8|11.83|1|14.29|0.0|0.04|0|0.0|0|0.0|6|85.71|1|14.29|6|11.73|11.84|0.1|11.77|11.82|0.05|-0.41|-1.11
1983|logSalePrice|7|3|35.47|11.82|11.82|11.81||4|57.14|0.0|0.05|0|0.0|0|0.0|3|42.86|4|57.14|3|11.78|11.88|0.09|11.79|11.84|0.05|0.54|-1.5
1984|logSalePrice|19|9|107.92|11.99|11.99|12.0||10|52.63|0.04|0.2|0|0.0|0|0.0|9|47.37|10|52.63|9|11.69|12.24|0.55|11.87|12.14|0.27|-0.22|-1.27
1985|logSalePrice|7|5|60.61|12.12|12.12|12.1||2|28.57|0.11|0.33|0|0.0|0|0.0|5|71.43|2|28.57|5|11.63|12.52|0.9|12.09|12.26|0.17|-0.42|-0.65
1986|logSalePrice|9|4|48.6|12.15|12.15|12.14||5|55.56|0.01|0.1|0|0.0|0|0.0|4|44.44|5|55.56|4|12.04|12.28|0.23|12.1|12.19|0.08|0.37|-1.04
1987|logSalePrice|8|3|36.56|12.19|12.19|12.1||5|62.5|0.03|0.17|0|0.0|0|0.0|3|37.5|5|62.5|3|12.08|12.38|0.31|12.09|12.24|0.15|0.7|-1.5
1988|logSalePrice|15|11|134.38|12.22|12.22|12.19||4|26.67|0.03|0.17|0|0.0|0|0.0|11|73.33|4|26.67|10|12.01|12.53|0.52|12.07|12.33|0.25|0.46|-0.86
1989|logSalePrice|7|2|24.86|12.43|12.43|12.43||5|71.43|0.02|0.13|0|0.0|0|0.0|2|28.57|5|71.43|2|12.34|12.52|0.19|12.39|12.48|0.09|0.0|-2.0
1990|logSalePrice|17|10|121.93|12.19|12.19|12.12||7|41.18|0.06|0.25|0|0.0|0|0.0|10|58.82|7|41.18|10|11.68|12.51|0.83|12.1|12.4|0.3|-0.5|-0.18
1991|logSalePrice|12|5|60.37|12.07|12.07|12.1||7|58.33|0.16|0.4|0|0.0|0|0.0|5|41.67|7|58.33|5|11.45|12.47|1.02|11.98|12.38|0.4|-0.68|-0.78
1992|logSalePrice|26|12|146.28|12.19|12.19|12.12||14|53.85|0.04|0.2|0|0.0|0|0.0|12|46.15|14|53.85|12|11.9|12.56|0.66|12.07|12.32|0.25|0.6|-0.76
1993|logSalePrice|36|14|170.36|12.17|12.17|12.15||22|61.11|0.03|0.17|0|0.0|0|0.0|14|38.89|22|61.11|14|11.87|12.47|0.6|12.09|12.28|0.18|0.0|-0.6
1994|logSalePrice|33|15|182.17|12.14|12.14|12.18||18|54.55|0.08|0.28|0|0.0|0|0.0|15|45.45|18|54.55|14|11.72|12.58|0.85|11.88|12.34|0.45|-0.05|-1.21
1995|logSalePrice|27|14|171.16|12.23|12.22|12.14||13|48.15|0.06|0.24|0|0.0|0|0.0|14|51.85|13|48.15|13|11.88|12.58|0.7|12.05|12.39|0.34|0.23|-1.33
1996|logSalePrice|31|12|146.72|12.23|12.22|12.22||19|61.29|0.04|0.21|0|0.0|0|0.0|12|38.71|19|61.29|12|11.9|12.51|0.6|12.07|12.43|0.36|-0.07|-1.23
1997|logSalePrice|34|13|158.91|12.22|12.22|12.24||21|61.76|0.01|0.11|0|0.0|0|0.0|13|38.24|21|61.76|13|12.04|12.38|0.35|12.13|12.3|0.17|-0.29|-1.02
1998|logSalePrice|43|22|268.75|12.22|12.21|12.21||21|48.84|0.04|0.19|0|0.0|0|0.0|22|51.16|21|48.84|22|11.8|12.54|0.74|12.11|12.31|0.2|-0.1|-0.32
1999|logSalePrice|49|22|267.62|12.16|12.16|12.14||27|55.1|0.02|0.15|0|0.0|0|0.0|22|44.9|27|55.1|19|11.95|12.58|0.63|12.07|12.26|0.19|1.01|0.98
2000|logSalePrice|47|23|281.15|12.22|12.22|12.14||24|51.06|0.03|0.17|0|0.0|0|0.0|23|48.94|24|51.06|21|12.01|12.54|0.52|12.09|12.37|0.28|0.29|-1.48
2001|logSalePrice|34|19|234.47|12.34|12.34|12.33||15|44.12|0.02|0.14|0|0.0|0|0.0|19|55.88|15|44.12|19|12.09|12.57|0.48|12.27|12.42|0.15|0.08|-0.71
2002|logSalePrice|46|22|270.75|12.31|12.31|12.3||24|52.17|0.02|0.13|0|0.0|0|0.0|22|47.83|24|52.17|20|12.12|12.56|0.44|12.21|12.37|0.16|0.36|-0.86
2003|logSalePrice|82|39|475.45|12.19|12.19|12.21||43|52.44|0.05|0.22|0|0.0|0|0.0|39|47.56|43|52.44|35|11.79|12.56|0.77|12.06|12.34|0.28|-0.06|-0.81
2004|logSalePrice|90|45|545.37|12.12|12.12|12.13||45|50.0|0.04|0.21|0|0.0|0|0.0|45|50.0|45|50.0|41|11.78|12.54|0.77|11.93|12.25|0.33|0.21|-0.67
2005|logSalePrice|131|53|645.78|12.18|12.18|12.16||78|59.54|0.04|0.2|0|0.0|0|0.0|53|40.46|78|59.54|49|11.85|12.55|0.7|12.06|12.33|0.27|0.24|-0.94
2006|logSalePrice|124|53|650.18|12.27|12.27|12.3||71|57.26|0.05|0.23|0|0.0|0|0.0|53|42.74|71|57.26|52|11.34|12.58|1.23|12.14|12.43|0.29|-1.33|3.42
2007|logSalePrice|93|33|404.47|12.26|12.26|12.24||60|64.52|0.04|0.19|0|0.0|0|0.0|33|35.48|60|64.52|32|11.89|12.6|0.71|12.11|12.38|0.28|0.0|-0.71
2008|logSalePrice|35|9|111.98|12.44|12.44|12.44||26|74.29|0.01|0.11|0|0.0|0|0.0|9|25.71|26|74.29|9|12.25|12.6|0.34|12.41|12.48|0.08|-0.22|-0.64
2009|logSalePrice|21|14|172.02|12.29|12.29|12.31||7|33.33|0.02|0.15|0|0.0|0|0.0|14|66.67|7|33.33|14|12.01|12.5|0.49|12.21|12.36|0.14|-0.37|-0.62
2010|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
