LowQualFinSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
362|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
371|logSalePrice|1|1|11.55|11.55|11.55|11.55|11.55|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.55|11.55|0.0|11.55|11.55|0.0|0.0|-3.0
384|logSalePrice|1|1|12.16|12.16|12.16|12.16|12.16|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.16|12.16|0.0|12.16|12.16|0.0|0.0|-3.0
390|logSalePrice|1|1|11.78|11.78|11.78|11.78|11.78|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.78|11.78|0.0|11.78|11.78|0.0|0.0|-3.0
392|logSalePrice|1|1|12.37|12.37|12.37|12.37|12.37|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.37|12.37|0.0|12.37|12.37|0.0|0.0|-3.0
397|logSalePrice|1|1|12.19|12.19|12.19|12.19|12.19|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.19|12.19|0.0|12.19|12.19|0.0|0.0|-3.0
420|logSalePrice|1|1|12.1|12.1|12.1|12.1|12.1|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.1|12.1|0.0|12.1|12.1|0.0|0.0|-3.0
431|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
436|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
450|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
473|logSalePrice|1|1|11.65|11.65|11.65|11.65|11.65|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.65|11.65|0.0|11.65|11.65|0.0|0.0|-3.0
479|logSalePrice|1|1|12.21|12.21|12.21|12.21|12.21|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.21|12.21|0.0|12.21|12.21|0.0|0.0|-3.0
481|logSalePrice|1|1|11.68|11.68|11.68|11.68|11.68|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.68|11.68|0.0|11.68|11.68|0.0|0.0|-3.0
512|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
513|logSalePrice|1|1|11.35|11.35|11.35|11.35|11.35|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.35|11.35|0.0|11.35|11.35|0.0|0.0|-3.0
514|logSalePrice|1|1|11.53|11.53|11.53|11.53|11.53|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.53|11.53|0.0|11.53|11.53|0.0|0.0|-3.0
515|logSalePrice|1|1|12.21|12.21|12.21|12.21|12.21|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.21|12.21|0.0|12.21|12.21|0.0|0.0|-3.0
528|logSalePrice|1|1|11.76|11.76|11.76|11.76|11.76|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.76|11.76|0.0|11.76|11.76|0.0|0.0|-3.0
697|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1064|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
