2ndFlrSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
494|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
495|logSalePrice|3|1|11.46|11.46|11.46|11.46||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.46|11.46|0.0|11.46|11.46|0.0|0.0|-3.0
496|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
498|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
499|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
500|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
501|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
502|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
504|logSalePrice|17|9|104.32|11.59|11.59|11.51||8|47.06|0.09|0.3|0|0.0|0|0.0|9|52.94|8|47.06|9|11.33|12.32|0.99|11.4|11.68|0.28|1.65|1.85
505|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
510|logSalePrice|2|1|11.85|11.85|11.85|11.85|11.85|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.85|11.85|0.0|11.85|11.85|0.0|0.0|-3.0
511|logSalePrice|1|1|12.13|12.13|12.13|12.13|12.13|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.13|12.13|0.0|12.13|12.13|0.0|0.0|-3.0
512|logSalePrice|3|1|11.61|11.61|11.61|11.61||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.61|11.61|0.0|11.61|11.61|0.0|0.0|-3.0
514|logSalePrice|1|1|12.15|12.15|12.15|12.15|12.15|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.15|12.15|0.0|12.15|12.15|0.0|0.0|-3.0
516|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
517|logSalePrice|2|1|11.88|11.88|11.88|11.88|11.88|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.88|11.88|0.0|11.88|11.88|0.0|0.0|-3.0
518|logSalePrice|1|1|11.58|11.58|11.58|11.58|11.58|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.58|11.58|0.0|11.58|11.58|0.0|0.0|-3.0
520|logSalePrice|3|2|23.21|11.61|11.61|11.61|11.65|1|33.33|0.0|0.06|0|0.0|0|0.0|2|66.67|1|33.33|2|11.56|11.65|0.09|11.58|11.63|0.05|-0.0|-2.0
521|logSalePrice|1|1|11.82|11.82|11.82|11.82|11.82|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.82|11.82|0.0|11.82|11.82|0.0|0.0|-3.0
523|logSalePrice|1|1|11.95|11.95|11.95|11.95|11.95|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.95|11.95|0.0|11.95|11.95|0.0|0.0|-3.0
524|logSalePrice|3|1|11.28|11.28|11.28|11.28||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.28|11.28|0.0|11.28|11.28|0.0|0.0|-3.0
525|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
526|logSalePrice|1|1|11.3|11.3|11.3|11.3|11.3|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.3|11.3|0.0|11.3|11.3|0.0|0.0|-3.0
527|logSalePrice|1|1|11.59|11.59|11.59|11.59|11.59|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.59|11.59|0.0|11.59|11.59|0.0|0.0|-3.0
528|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
530|logSalePrice|3|2|23.66|11.83|11.83|11.83|12.14|1|33.33|0.19|0.44|0|0.0|0|0.0|2|66.67|1|33.33|2|11.52|12.14|0.62|11.68|11.99|0.31|-0.0|-2.0
531|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
532|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
533|logSalePrice|1|1|11.84|11.84|11.84|11.84|11.84|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.84|11.84|0.0|11.84|11.84|0.0|0.0|-3.0
534|logSalePrice|2|2|23.47|11.74|11.74|11.74|11.56|1|50.0|0.06|0.25|0|0.0|0|0.0|2|100.0|0|0.0|2|11.56|11.91|0.35|11.65|11.82|0.17|0.0|-2.0
536|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
537|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
539|logSalePrice|2|1|11.67|11.67|11.67|11.67|11.67|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.67|11.67|0.0|11.67|11.67|0.0|0.0|-3.0
540|logSalePrice|1|1|11.94|11.94|11.94|11.94|11.94|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.94|11.94|0.0|11.94|11.94|0.0|0.0|-3.0
541|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
544|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
545|logSalePrice|1|1|11.85|11.85|11.85|11.85|11.85|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.85|11.85|0.0|11.85|11.85|0.0|0.0|-3.0
546|logSalePrice|23|8|91.65|11.46|11.46|11.45||15|65.22|0.02|0.15|0|0.0|0|0.0|8|34.78|15|65.22|8|11.23|11.68|0.45|11.37|11.52|0.15|0.09|-0.89
547|logSalePrice|1|1|11.76|11.76|11.76|11.76|11.76|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.76|11.76|0.0|11.76|11.76|0.0|0.0|-3.0
548|logSalePrice|3|1|11.61|11.61|11.61|11.61||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.61|11.61|0.0|11.61|11.61|0.0|0.0|-3.0
549|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
550|logSalePrice|5|2|23.38|11.69|11.69|11.69||3|60.0|0.01|0.09|0|0.0|0|0.0|2|40.0|3|60.0|2|11.63|11.75|0.13|11.66|11.72|0.06|0.0|-2.0
551|logSalePrice|3|3|35.0|11.67|11.66|11.81|11.91|1|33.33|0.12|0.34|0|0.0|0|0.0|3|100.0|0|0.0|3|11.28|11.91|0.63|11.55|11.86|0.32|-0.64|-1.5
552|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
554|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
556|logSalePrice|1|1|11.85|11.85|11.85|11.85|11.85|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.85|11.85|0.0|11.85|11.85|0.0|0.0|-3.0
557|logSalePrice|1|1|11.74|11.74|11.74|11.74|11.74|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.74|11.74|0.0|11.74|11.74|0.0|0.0|-3.0
558|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
560|logSalePrice|3|2|23.51|11.76|11.75|11.76|11.56|1|33.33|0.08|0.28|0|0.0|0|0.0|2|66.67|1|33.33|2|11.56|11.95|0.39|11.66|11.85|0.19|-0.0|-2.0
561|logSalePrice|2|1|11.74|11.74|11.74|11.74|11.74|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.74|11.74|0.0|11.74|11.74|0.0|0.0|-3.0
563|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
564|logSalePrice|4|2|23.27|11.63|11.63|11.63||2|50.0|0.0|0.04|0|0.0|0|0.0|2|50.0|2|50.0|2|11.61|11.66|0.05|11.62|11.65|0.03|-0.0|-2.0
566|logSalePrice|1|1|11.87|11.87|11.87|11.87|11.87|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.87|11.87|0.0|11.87|11.87|0.0|0.0|-3.0
567|logSalePrice|6|2|23.14|11.57|11.57|11.57||4|66.67|0.07|0.26|0|0.0|0|0.0|2|33.33|4|66.67|2|11.39|11.76|0.37|11.48|11.67|0.19|0.0|-2.0
568|logSalePrice|2|1|11.78|11.78|11.78|11.78||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.78|11.78|0.0|11.78|11.78|0.0|0.0|-3.0
570|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
571|logSalePrice|1|1|12.39|12.39|12.39|12.39|12.39|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.39|12.39|0.0|12.39|12.39|0.0|0.0|-3.0
573|logSalePrice|1|1|12.47|12.47|12.47|12.47|12.47|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.47|12.47|0.0|12.47|12.47|0.0|0.0|-3.0
574|logSalePrice|1|1|11.83|11.83|11.83|11.83|11.83|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.83|11.83|0.0|11.83|11.83|0.0|0.0|-3.0
576|logSalePrice|3|2|22.79|11.4|11.4|11.4||1|33.33|0.0|0.06|0|0.0|0|0.0|2|66.67|1|33.33|2|11.35|11.44|0.09|11.37|11.42|0.04|0.0|-2.0
580|logSalePrice|2|1|11.85|11.85|11.85|11.85|11.85|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.85|11.85|0.0|11.85|11.85|0.0|0.0|-3.0
581|logSalePrice|2|1|11.97|11.97|11.97|11.97||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.97|11.97|0.0|11.97|11.97|0.0|0.0|-3.0
582|logSalePrice|2|1|11.75|11.75|11.75|11.75|11.75|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.75|11.75|0.0|11.75|11.75|0.0|0.0|-3.0
583|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
584|logSalePrice|2|2|23.42|11.71|11.71|11.71|11.63|1|50.0|0.01|0.12|0|0.0|0|0.0|2|100.0|0|0.0|2|11.63|11.8|0.17|11.67|11.76|0.09|-0.0|-2.0
585|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
586|logSalePrice|1|1|11.91|11.91|11.91|11.91|11.91|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.91|11.91|0.0|11.91|11.91|0.0|0.0|-3.0
587|logSalePrice|1|1|11.79|11.79|11.79|11.79|11.79|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.79|11.79|0.0|11.79|11.79|0.0|0.0|-3.0
