LotArea|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
1533|logSalePrice|4|2|22.91|11.46|11.46|11.46||2|50.0|0.0|0.04|0|0.0|0|0.0|2|50.0|2|50.0|2|11.43|11.48|0.05|11.44|11.47|0.03|0.0|-2.0
1596|logSalePrice|2|1|11.42|11.42|11.42|11.42|11.42|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.42|11.42|0.0|11.42|11.42|0.0|0.0|-3.0
1612|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1680|logSalePrice|18|10|115.21|11.52|11.52|11.48||8|44.44|0.02|0.13|0|0.0|0|0.0|10|55.56|8|44.44|9|11.36|11.69|0.34|11.41|11.67|0.26|0.19|-1.65
1700|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1733|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1782|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1869|logSalePrice|1|1|11.57|11.57|11.57|11.57|11.57|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.57|11.57|0.0|11.57|11.57|0.0|0.0|-3.0
1879|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1890|logSalePrice|6|2|22.94|11.47|11.47|11.47||4|66.67|0.06|0.24|0|0.0|0|0.0|2|33.33|4|66.67|2|11.3|11.64|0.33|11.39|11.55|0.17|0.0|-2.0
1894|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1900|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1920|logSalePrice|1|1|11.72|11.72|11.72|11.72|11.72|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.72|11.72|0.0|11.72|11.72|0.0|0.0|-3.0
1936|logSalePrice|2|1|11.34|11.34|11.34|11.34|11.34|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.34|11.34|0.0|11.34|11.34|0.0|0.0|-3.0
1950|logSalePrice|1|1|11.93|11.93|11.93|11.93|11.93|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.93|11.93|0.0|11.93|11.93|0.0|0.0|-3.0
1953|logSalePrice|1|1|11.33|11.33|11.33|11.33|11.33|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.33|11.33|0.0|11.33|11.33|0.0|0.0|-3.0
1974|logSalePrice|2|1|11.33|11.33|11.33|11.33|11.33|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.33|11.33|0.0|11.33|11.33|0.0|0.0|-3.0
2001|logSalePrice|1|1|11.23|11.23|11.23|11.23|11.23|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.23|11.23|0.0|11.23|11.23|0.0|0.0|-3.0
2016|logSalePrice|1|1|11.57|11.57|11.57|11.57|11.57|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.57|11.57|0.0|11.57|11.57|0.0|0.0|-3.0
2058|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2104|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2117|logSalePrice|4|3|36.21|12.07|12.07|12.08|12.09|1|25.0|0.0|0.03|0|0.0|0|0.0|3|75.0|1|25.0|3|12.03|12.09|0.05|12.06|12.09|0.03|-0.7|-1.5
2160|logSalePrice|3|1|11.98|11.98|11.98|11.98||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.98|11.98|0.0|11.98|11.98|0.0|0.0|-3.0
2179|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2205|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2217|logSalePrice|1|1|11.39|11.39|11.39|11.39|11.39|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.39|11.39|0.0|11.39|11.39|0.0|0.0|-3.0
2268|logSalePrice|1|1|12.06|12.06|12.06|12.06|12.06|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.06|12.06|0.0|12.06|12.06|0.0|0.0|-3.0
2280|logSalePrice|9|3|35.9|11.97|11.97|11.91||6|66.67|0.01|0.11|0|0.0|0|0.0|3|33.33|6|66.67|3|11.89|12.1|0.21|11.9|12.0|0.1|0.69|-1.5
2289|logSalePrice|1|1|11.91|11.91|11.91|11.91|11.91|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.91|11.91|0.0|11.91|11.91|0.0|0.0|-3.0
2304|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2308|logSalePrice|4|2|23.85|11.92|11.92|11.92||2|50.0|0.0|0.04|0|0.0|0|0.0|2|50.0|2|50.0|2|11.9|11.95|0.05|11.91|11.94|0.03|0.0|-2.0
2349|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2364|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
2368|logSalePrice|1|1|11.74|11.74|11.74|11.74|11.74|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.74|11.74|0.0|11.74|11.74|0.0|0.0|-3.0
2394|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2403|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2448|logSalePrice|2|1|11.94|11.94|11.94|11.94|11.94|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.94|11.94|0.0|11.94|11.94|0.0|0.0|-3.0
2500|logSalePrice|1|1|11.95|11.95|11.95|11.95|11.95|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.95|11.95|0.0|11.95|11.95|0.0|0.0|-3.0
2522|logSalePrice|4|3|35.38|11.79|11.79|11.78|11.78|2|50.0|0.0|0.03|0|0.0|0|0.0|3|75.0|1|25.0|2|11.78|11.83|0.06|11.78|11.8|0.03|0.71|-1.5
2529|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2544|logSalePrice|4|1|11.9|11.9|11.9|11.9||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|11.9|11.9|0.0|11.9|11.9|0.0|0.0|-3.0
2572|logSalePrice|1|1|11.95|11.95|11.95|11.95|11.95|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.95|11.95|0.0|11.95|11.95|0.0|0.0|-3.0
2592|logSalePrice|1|1|11.35|11.35|11.35|11.35|11.35|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.35|11.35|0.0|11.35|11.35|0.0|0.0|-3.0
2628|logSalePrice|1|1|12.08|12.08|12.08|12.08|12.08|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.08|12.08|0.0|12.08|12.08|0.0|0.0|-3.0
2645|logSalePrice|4|2|24.12|12.06|12.06|12.06||2|50.0|0.0|0.01|0|0.0|0|0.0|2|50.0|2|50.0|2|12.06|12.07|0.01|12.06|12.06|0.0|0.0|-2.0
2651|logSalePrice|1|1|12.01|12.01|12.01|12.01|12.01|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.01|12.01|0.0|12.01|12.01|0.0|0.0|-3.0
2665|logSalePrice|4|2|23.4|11.7|11.7|11.7||2|50.0|0.0|0.07|0|0.0|0|0.0|2|50.0|2|50.0|2|11.65|11.75|0.1|11.68|11.73|0.05|0.0|-2.0
2760|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2880|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2887|logSalePrice|1|1|12.06|12.06|12.06|12.06|12.06|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.06|12.06|0.0|12.06|12.06|0.0|0.0|-3.0
2938|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2980|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2998|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
3000|logSalePrice|2|1|12.07|12.07|12.07|12.07||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.07|12.07|0.0|12.07|12.07|0.0|0.0|-3.0
3010|logSalePrice|2|1|12.03|12.03|12.03|12.03|12.03|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.03|12.03|0.0|12.03|12.03|0.0|0.0|-3.0
3013|logSalePrice|1|1|12.27|12.27|12.27|12.27|12.27|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.27|12.27|0.0|12.27|12.27|0.0|0.0|-3.0
3068|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3072|logSalePrice|2|1|12.09|12.09|12.09|12.09|12.09|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.09|12.09|0.0|12.09|12.09|0.0|0.0|-3.0
3087|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3136|logSalePrice|1|1|12.05|12.05|12.05|12.05|12.05|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.05|12.05|0.0|12.05|12.05|0.0|0.0|-3.0
3153|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3180|logSalePrice|4|2|23.8|11.9|11.9|11.9||2|50.0|0.0|0.03|0|0.0|0|0.0|2|50.0|2|50.0|2|11.88|11.93|0.05|11.89|11.91|0.02|-0.0|-2.0
3182|logSalePrice|8|7|84.49|12.07|12.07|12.11|11.98|1|12.5|0.01|0.1|0|0.0|0|0.0|7|87.5|1|12.5|7|11.93|12.17|0.24|11.98|12.16|0.18|-0.29|-1.64
3196|logSalePrice|2|2|24.64|12.32|12.32|12.32|12.36|1|50.0|0.0|0.06|0|0.0|0|0.0|2|100.0|0|0.0|2|12.28|12.36|0.08|12.3|12.34|0.04|0.0|-2.0
3203|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3215|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3230|logSalePrice|2|2|24.14|12.07|12.07|12.07|12.08|1|50.0|0.0|0.01|0|0.0|0|0.0|2|100.0|0|0.0|2|12.06|12.08|0.02|12.06|12.07|0.01|0.0|-2.0
3242|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3300|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3316|logSalePrice|1|1|12.19|12.19|12.19|12.19|12.19|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.19|12.19|0.0|12.19|12.19|0.0|0.0|-3.0
3363|logSalePrice|1|1|11.78|11.78|11.78|11.78|11.78|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.78|11.78|0.0|11.78|11.78|0.0|0.0|-3.0
3378|logSalePrice|1|1|11.81|11.81|11.81|11.81|11.81|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.81|11.81|0.0|11.81|11.81|0.0|0.0|-3.0
3435|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3480|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3500|logSalePrice|2|1|11.61|11.61|11.61|11.61|11.61|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.61|11.61|0.0|11.61|11.61|0.0|0.0|-3.0
3515|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3523|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3600|logSalePrice|3|1|11.65|11.65|11.65|11.65||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|11.65|11.65|0.0|11.65|11.65|0.0|0.0|-3.0
3604|logSalePrice|1|1|11.89|11.89|11.89|11.89|11.89|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.89|11.89|0.0|11.89|11.89|0.0|0.0|-3.0
3606|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3621|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3628|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3635|logSalePrice|1|1|12.08|12.08|12.08|12.08|12.08|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.08|12.08|0.0|12.08|12.08|0.0|0.0|-3.0
3636|logSalePrice|1|1|10.92|10.92|10.92|10.92|10.92|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|10.92|10.92|0.0|10.92|10.92|0.0|0.0|-3.0
3672|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3675|logSalePrice|6|3|35.64|11.88|11.88|11.88||3|50.0|0.0|0.03|0|0.0|0|0.0|3|50.0|3|50.0|3|11.85|11.9|0.06|11.87|11.89|0.03|-0.31|-1.5
3684|logSalePrice|1|1|12.07|12.07|12.07|12.07|12.07|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.07|12.07|0.0|12.07|12.07|0.0|0.0|-3.0
3696|logSalePrice|1|1|12.04|12.04|12.04|12.04|12.04|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.04|12.04|0.0|12.04|12.04|0.0|0.0|-3.0
3701|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3710|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
3735|logSalePrice|1|1|12.12|12.12|12.12|12.12|12.12|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.12|12.12|0.0|12.12|12.12|0.0|0.0|-3.0
3768|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3784|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3811|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
3830|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3842|logSalePrice|2|1|12.52|12.52|12.52|12.52|12.52|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.52|12.52|0.0|12.52|12.52|0.0|0.0|-3.0
3843|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
3869|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3880|logSalePrice|1|1|11.61|11.61|11.61|11.61|11.61|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.61|11.61|0.0|11.61|11.61|0.0|0.0|-3.0
3901|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3903|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3907|logSalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
3922|logSalePrice|2|2|24.23|12.12|12.12|12.12|12.18|1|50.0|0.01|0.08|0|0.0|0|0.0|2|100.0|0|0.0|2|12.06|12.18|0.12|12.09|12.15|0.06|-0.0|-2.0
3940|logSalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
3950|logSalePrice|1|1|11.65|11.65|11.65|11.65|11.65|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.65|11.65|0.0|11.65|11.65|0.0|0.0|-3.0
3951|logSalePrice|2|1|12.01|12.01|12.01|12.01|12.01|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.01|12.01|0.0|12.01|12.01|0.0|0.0|-3.0
3960|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
3964|logSalePrice|1|1|11.93|11.93|11.93|11.93|11.93|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.93|11.93|0.0|11.93|11.93|0.0|0.0|-3.0
3982|logSalePrice|1|1|12.49|12.49|12.49|12.49|12.49|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.49|12.49|0.0|12.49|12.49|0.0|0.0|-3.0
4000|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4017|logSalePrice|1|1|12.05|12.05|12.05|12.05|12.05|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.05|12.05|0.0|12.05|12.05|0.0|0.0|-3.0
4043|logSalePrice|3|2|23.61|11.8|11.8|11.8|11.76|1|33.33|0.0|0.07|0|0.0|0|0.0|2|66.67|1|33.33|2|11.76|11.85|0.09|11.78|11.83|0.05|-0.0|-2.0
4045|logSalePrice|1|1|12.42|12.42|12.42|12.42|12.42|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.42|12.42|0.0|12.42|12.42|0.0|0.0|-3.0
4054|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4058|logSalePrice|1|1|11.8|11.8|11.8|11.8|11.8|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.8|11.8|0.0|11.8|11.8|0.0|0.0|-3.0
4060|logSalePrice|2|2|23.62|11.81|11.81|11.81|12.11|1|50.0|0.18|0.42|0|0.0|0|0.0|2|100.0|0|0.0|2|11.51|12.11|0.59|11.66|11.96|0.3|-0.0|-2.0
4080|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4084|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4109|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4113|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4118|logSalePrice|1|1|10.87|10.87|10.87|10.87|10.87|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|10.87|10.87|0.0|10.87|10.87|0.0|0.0|-3.0
4130|logSalePrice|1|1|10.86|10.86|10.86|10.86|10.86|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|10.86|10.86|0.0|10.86|10.86|0.0|0.0|-3.0
4217|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4224|logSalePrice|3|2|23.58|11.79|11.79|11.79||1|33.33|0.0|0.02|0|0.0|0|0.0|2|66.67|1|33.33|2|11.77|11.81|0.03|11.78|11.8|0.02|0.0|-2.0
4230|logSalePrice|1|1|12.25|12.25|12.25|12.25|12.25|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.25|12.25|0.0|12.25|12.25|0.0|0.0|-3.0
4235|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4251|logSalePrice|1|1|12.01|12.01|12.01|12.01|12.01|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.01|12.01|0.0|12.01|12.01|0.0|0.0|-3.0
4270|logSalePrice|1|1|11.28|11.28|11.28|11.28|11.28|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.28|11.28|0.0|11.28|11.28|0.0|0.0|-3.0
4274|logSalePrice|1|1|12.21|12.21|12.21|12.21|12.21|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.21|12.21|0.0|12.21|12.21|0.0|0.0|-3.0
4280|logSalePrice|2|1|11.41|11.41|11.41|11.41|11.41|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.41|11.41|0.0|11.41|11.41|0.0|0.0|-3.0
4282|logSalePrice|1|1|12.19|12.19|12.19|12.19|12.19|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.19|12.19|0.0|12.19|12.19|0.0|0.0|-3.0
4330|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4347|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4379|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4385|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4388|logSalePrice|1|1|11.37|11.37|11.37|11.37|11.37|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.37|11.37|0.0|11.37|11.37|0.0|0.0|-3.0
4400|logSalePrice|1|1|11.66|11.66|11.66|11.66|11.66|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.66|11.66|0.0|11.66|11.66|0.0|0.0|-3.0
4403|logSalePrice|1|1|12.31|12.31|12.31|12.31|12.31|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.31|12.31|0.0|12.31|12.31|0.0|0.0|-3.0
4426|logSalePrice|4|3|35.64|11.88|11.88|11.87|11.87|1|25.0|0.0|0.03|0|0.0|0|0.0|3|75.0|1|25.0|3|11.86|11.91|0.06|11.86|11.89|0.03|0.53|-1.5
4435|logSalePrice|7|5|59.29|11.86|11.86|11.85||2|28.57|0.0|0.06|0|0.0|0|0.0|5|71.43|2|28.57|5|11.79|11.96|0.17|11.82|11.88|0.05|0.56|-0.77
4438|logSalePrice|2|2|23.79|11.9|11.9|11.9|11.91|1|50.0|0.0|0.02|0|0.0|0|0.0|2|100.0|0|0.0|2|11.88|11.91|0.03|11.89|11.9|0.02|0.0|-2.0
4447|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4456|logSalePrice|1|1|11.64|11.64|11.64|11.64|11.64|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.64|11.64|0.0|11.64|11.64|0.0|0.0|-3.0
4480|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4484|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4485|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4500|logSalePrice|6|5|59.94|11.99|11.99|12.0|12.01|1|16.67|0.0|0.03|0|0.0|0|0.0|5|83.33|1|16.67|5|11.94|12.01|0.07|11.98|12.01|0.03|-0.83|-0.7
4538|logSalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
4571|logSalePrice|2|1|11.49|11.49|11.49|11.49|11.49|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|11.49|11.49|0.0|11.49|11.49|0.0|0.0|-3.0
4590|logSalePrice|2|1|12.25|12.25|12.25|12.25||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|12.25|12.25|0.0|12.25|12.25|0.0|0.0|-3.0
4608|logSalePrice|1|1|11.29|11.29|11.29|11.29|11.29|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|11.29|11.29|0.0|11.29|11.29|0.0|0.0|-3.0
4671|logSalePrice|1|1|12.15|12.15|12.15|12.15|12.15|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|12.15|12.15|0.0|12.15|12.15|0.0|0.0|-3.0
