PassengerId|Survived|Pclass|Mrs|Ms|Priv|male|Age|SibSp|Parch|Ticket_Number|Fare|Embarked|FamSize|Alone|Dataset
153|0.0|1|0|0|0|1|55.5|0|0|11206|8.05|1|0|1|train
154|0.0|1|0|0|0|1|40.5|0|2|851|14.5|1|2|0|train
156|0.0|3|0|0|0|1|51.0|0|1|17597|61.3792|2|1|0|train
157|1.0|1|0|1|0|0|16.0|0|0|35851|7.7333|3|0|1|train
158|0.0|1|0|0|0|1|30.0|0|0|392090|8.05|1|0|1|train
161|0.0|1|0|0|0|1|44.0|0|1|371362|16.1|1|1|0|train
162|1.0|2|1|0|0|0|40.0|0|0|33595|15.75|1|0|1|train
163|0.0|1|0|0|0|1|26.0|0|0|347068|7.775|1|0|1|train
164|0.0|1|0|0|0|1|17.0|0|0|315093|8.6625|1|0|1|train
165|0.0|1|0|0|1|1|1.0|4|1|3101295|39.6875|1|5|0|train
166|1.0|1|0|0|1|1|9.0|0|2|363291|20.525|1|2|0|train
168|0.0|1|1|0|0|0|45.0|1|4|347088|27.9|1|5|0|train
170|0.0|1|0|0|0|1|28.0|0|0|1601|56.4958|1|0|1|train
171|0.0|3|0|0|0|1|61.0|0|0|111240|33.5|1|0|1|train
172|0.0|1|0|0|1|1|4.0|4|1|382652|29.125|3|5|0|train
173|1.0|1|0|1|0|0|1.0|1|1|347742|11.1333|1|2|0|train
174|0.0|1|0|0|0|1|21.0|0|0|3101280|7.925|1|0|1|train
175|0.0|3|0|0|0|1|56.0|0|0|17764|30.6958|2|0|1|train
176|0.0|1|0|0|0|1|18.0|1|1|350404|7.8542|1|2|0|train
178|0.0|3|0|1|0|0|50.0|0|0|17595|28.7125|2|0|1|train
179|0.0|2|0|0|0|1|30.0|0|0|250653|13.0|1|0|1|train
180|0.0|1|0|0|0|1|36.0|0|0|-1|0.0|1|0|1|train
183|0.0|1|0|0|1|1|9.0|4|2|347077|31.3875|1|6|0|train
184|1.0|2|0|0|1|1|1.0|2|1|230136|39.0|1|3|0|train
185|1.0|1|0|1|0|0|4.0|0|2|315153|22.025|1|2|0|train
188|1.0|3|0|0|0|1|45.0|0|0|111428|26.55|1|0|1|train
189|0.0|1|0|0|0|1|40.0|1|1|364849|15.5|3|2|0|train
190|0.0|1|0|0|0|1|36.0|0|0|349247|7.8958|1|0|1|train
191|1.0|2|1|0|0|0|32.0|0|0|234604|13.0|1|0|1|train
192|0.0|2|0|0|0|1|19.0|0|0|28424|13.0|1|0|1|train
193|1.0|1|0|1|0|0|19.0|1|0|350046|7.8542|1|1|0|train
194|1.0|2|0|0|1|1|3.0|1|1|230080|26.0|1|2|0|train
195|1.0|3|1|0|0|0|44.0|0|0|17610|27.7208|2|0|1|train
196|1.0|3|0|1|0|0|58.0|0|0|17569|146.5208|2|0|1|train
198|0.0|1|0|0|0|1|42.0|0|1|4579|8.4042|1|1|0|train
200|0.0|2|0|1|0|0|24.0|0|0|248747|13.0|1|0|1|train
201|0.0|1|0|0|0|1|28.0|0|0|345770|9.5|1|0|1|train
203|0.0|1|0|0|0|1|34.0|0|0|3101264|6.4958|1|0|1|train
204|0.0|1|0|0|0|1|45.5|0|0|2628|7.225|2|0|1|train
205|1.0|1|0|0|0|1|18.0|0|0|3540|8.05|1|0|1|train
206|0.0|1|0|1|0|0|2.0|0|1|347054|10.4625|1|1|0|train
207|0.0|1|0|0|0|1|32.0|1|0|3101278|15.85|1|1|0|train
208|1.0|1|0|0|0|1|26.0|0|0|2699|18.7875|2|0|1|train
209|1.0|1|0|1|0|0|16.0|0|0|367231|7.75|3|0|1|train
210|1.0|3|0|0|0|1|40.0|0|0|112277|31.0|2|0|1|train
211|0.0|1|0|0|0|1|24.0|0|0|3101311|7.05|1|0|1|train
212|1.0|2|0|1|0|0|35.0|0|0|13528|21.0|1|0|1|train
213|0.0|1|0|0|0|1|22.0|0|0|21174|7.25|1|0|1|train
214|0.0|2|0|0|0|1|30.0|0|0|250646|13.0|1|0|1|train
216|1.0|3|0|1|0|0|31.0|1|0|35273|113.275|2|1|0|train
217|1.0|1|0|1|0|0|27.0|0|0|3101283|7.925|1|0|1|train
218|0.0|2|0|0|0|1|42.0|1|0|243847|27.0|1|1|0|train
219|1.0|3|0|1|0|0|32.0|0|0|11813|76.2917|2|0|1|train
220|0.0|2|0|0|0|1|30.0|0|0|14208|10.5|1|0|1|train
221|1.0|1|0|0|0|1|16.0|0|0|392089|8.05|1|0|1|train
222|0.0|2|0|0|0|1|27.0|0|0|220367|13.0|1|0|1|train
223|0.0|1|0|0|0|1|51.0|0|0|21440|8.05|1|0|1|train
225|1.0|3|0|0|0|1|38.0|1|0|19943|90.0|1|1|0|train
226|0.0|1|0|0|0|1|22.0|0|0|4348|9.35|1|0|1|train
227|1.0|2|0|0|0|1|19.0|0|0|751|10.5|1|0|1|train
228|0.0|1|0|0|0|1|20.5|0|0|21173|7.25|1|0|1|train
229|0.0|2|0|0|0|1|18.0|0|0|236171|13.0|1|0|1|train
231|1.0|3|1|0|0|0|35.0|1|0|36973|83.475|1|1|0|train
232|0.0|1|0|0|0|1|29.0|0|0|347067|7.775|1|0|1|train
233|0.0|2|0|0|0|1|59.0|0|0|237442|13.5|1|0|1|train
234|1.0|1|0|1|0|0|5.0|4|2|347077|31.3875|1|6|0|train
235|0.0|2|0|0|0|1|24.0|0|0|29566|10.5|1|0|1|train
237|0.0|2|0|0|0|1|44.0|1|0|26707|26.0|1|1|0|train
238|1.0|2|0|1|0|0|8.0|0|2|31921|26.25|1|2|0|train
239|0.0|2|0|0|0|1|19.0|0|0|28665|10.5|1|0|1|train
240|0.0|2|0|0|0|1|33.0|0|0|1585|12.275|1|0|1|train
243|0.0|2|0|0|0|1|29.0|0|0|14263|10.5|1|0|1|train
244|0.0|1|0|0|0|1|22.0|0|0|3101275|7.125|1|0|1|train
245|0.0|1|0|0|0|1|30.0|0|0|2694|7.225|2|0|1|train
246|0.0|3|0|0|1|1|44.0|2|0|19928|90.0|3|2|0|train
247|0.0|1|0|1|0|0|25.0|0|0|347071|7.775|1|0|1|train
248|1.0|2|1|0|0|0|24.0|0|2|250649|14.5|1|2|0|train
249|1.0|3|0|0|0|1|37.0|1|1|11751|52.5542|1|2|0|train
250|0.0|2|0|0|1|1|54.0|1|0|244252|26.0|1|1|0|train
252|0.0|1|1|0|0|0|29.0|1|1|347054|10.4625|1|2|0|train
253|0.0|3|0|0|0|1|62.0|0|0|113514|26.55|1|0|1|train
254|0.0|1|0|0|0|1|30.0|1|0|3336|16.1|1|1|0|train
255|0.0|1|1|0|0|0|41.0|0|2|370129|20.2125|1|2|0|train
256|1.0|1|1|0|0|0|29.0|0|2|2650|15.2458|2|2|0|train
258|1.0|3|0|1|0|0|30.0|0|0|110152|86.5|1|0|1|train
259|1.0|3|0|1|0|0|35.0|0|0|17755|512.3292|2|0|1|train
260|1.0|2|1|0|0|0|50.0|0|1|230433|26.0|1|1|0|train
262|1.0|1|0|0|1|1|3.0|4|2|347077|31.3875|1|6|0|train
263|0.0|3|0|0|0|1|52.0|1|1|110413|79.65|1|2|0|train
264|0.0|3|0|0|0|1|40.0|0|0|112059|0.0|1|0|1|train
266|0.0|2|0|0|0|1|36.0|0|0|17248|10.5|1|0|1|train
267|0.0|1|0|0|0|1|16.0|4|1|3101295|39.6875|1|5|0|train
268|1.0|1|0|0|0|1|25.0|1|0|347083|7.775|1|1|0|train
269|1.0|3|1|0|0|0|58.0|0|1|17582|153.4625|1|1|0|train
270|1.0|3|0|1|0|0|35.0|0|0|17760|135.6333|1|0|1|train
272|1.0|1|0|0|0|1|25.0|0|0|-1|0.0|1|0|1|train
273|1.0|2|1|0|0|0|41.0|0|1|250644|19.5|1|1|0|train
274|0.0|3|0|0|0|1|37.0|0|1|17596|29.7|2|1|0|train
276|1.0|3|0|1|0|0|63.0|1|0|13502|77.9583|1|1|0|train
277|0.0|1|0|1|0|0|45.0|0|0|347073|7.75|1|0|1|train
279|0.0|1|0|0|1|1|7.0|4|1|382652|29.125|3|5|0|train
280|1.0|1|1|0|0|0|35.0|1|1|2673|20.25|1|2|0|train
281|0.0|1|0|0|0|1|65.0|0|0|336439|7.75|3|0|1|train
282|0.0|1|0|0|0|1|28.0|0|0|347464|7.8542|1|0|1|train
283|0.0|1|0|0|0|1|16.0|0|0|345778|9.5|1|0|1|train
284|1.0|1|0|0|0|1|19.0|0|0|10482|8.05|1|0|1|train
286|0.0|1|0|0|0|1|33.0|0|0|349239|8.6625|2|0|1|train
287|1.0|1|0|0|0|1|30.0|0|0|345774|9.5|1|0|1|train
288|0.0|1|0|0|0|1|22.0|0|0|349206|7.8958|1|0|1|train
289|1.0|2|0|0|0|1|42.0|0|0|237798|13.0|1|0|1|train
290|1.0|1|0|1|0|0|22.0|0|0|370373|7.75|3|0|1|train
291|1.0|3|0|1|0|0|26.0|0|0|19877|78.85|1|0|1|train
292|1.0|3|1|0|0|0|19.0|1|0|11967|91.0792|2|1|0|train
293|0.0|2|0|0|0|1|36.0|0|0|2163|12.875|2|0|1|train
294|0.0|1|0|1|0|0|24.0|0|0|349236|8.85|1|0|1|train
295|0.0|1|0|0|0|1|24.0|0|0|349233|7.8958|1|0|1|train
297|0.0|1|0|0|0|1|23.5|0|0|2693|7.2292|2|0|1|train
298|0.0|3|0|1|0|0|2.0|1|2|113781|151.55|1|3|0|train
300|1.0|3|1|0|0|0|50.0|0|1|17558|247.5208|2|1|0|train
303|0.0|1|0|0|0|1|19.0|0|0|-1|0.0|1|0|1|train
306|1.0|3|0|0|1|1|0.92|1|2|113781|151.55|1|3|0|train
308|1.0|3|1|0|0|0|17.0|1|0|17758|108.9|2|1|0|train
309|0.0|2|0|0|0|1|30.0|1|0|3381|24.0|2|1|0|train
310|1.0|3|0|1|0|0|30.0|0|0|17485|56.9292|2|0|1|train
311|1.0|3|0|1|0|0|24.0|0|0|11767|83.1583|2|0|1|train
312|1.0|3|0|1|0|0|18.0|2|2|17608|262.375|2|4|0|train
313|0.0|2|1|0|0|0|26.0|1|1|250651|26.0|1|2|0|train
314|0.0|1|0|0|0|1|28.0|0|0|349243|7.8958|1|0|1|train
315|0.0|2|0|0|0|1|43.0|1|1|13529|26.25|1|2|0|train
316|1.0|1|0|1|0|0|26.0|0|0|347470|7.8542|1|0|1|train
317|1.0|2|1|0|0|0|24.0|1|0|244367|26.0|1|1|0|train
318|0.0|2|0|0|1|1|54.0|0|0|29011|14.0|1|0|1|train
319|1.0|3|0|1|0|0|31.0|0|2|36928|164.8667|1|2|0|train
320|1.0|3|1|0|0|0|40.0|1|1|16966|134.5|2|2|0|train
321|0.0|1|0|0|0|1|22.0|0|0|21172|7.25|1|0|1|train
322|0.0|1|0|0|0|1|27.0|0|0|349219|7.8958|1|0|1|train
323|1.0|2|0|1|0|0|30.0|0|0|234818|12.35|3|0|1|train
324|1.0|2|1|0|0|0|22.0|1|1|248738|29.0|1|2|0|train
326|1.0|3|0|1|0|0|36.0|0|0|17760|135.6333|2|0|1|train
327|0.0|1|0|0|0|1|61.0|0|0|345364|6.2375|1|0|1|train
328|1.0|2|1|0|0|0|36.0|0|0|28551|13.0|1|0|1|train
329|1.0|1|1|0|0|0|31.0|1|1|363291|20.525|1|2|0|train
330|1.0|3|0|1|0|0|16.0|0|1|111361|57.9792|2|1|0|train
332|0.0|3|0|0|0|1|45.5|0|0|113043|28.5|1|0|1|train
333|0.0|3|0|0|0|1|38.0|0|1|17582|153.4625|1|1|0|train
334|0.0|1|0|0|0|1|16.0|2|0|345764|18.0|1|2|0|train
337|0.0|3|0|0|0|1|29.0|1|0|113776|66.6|1|1|0|train
338|1.0|3|0|1|0|0|41.0|0|0|16966|134.5|2|0|1|train
339|1.0|1|0|0|0|1|45.0|0|0|7598|8.05|1|0|1|train
340|0.0|3|0|0|0|1|45.0|0|0|113784|35.5|1|0|1|train
341|1.0|2|0|0|1|1|2.0|1|1|230080|26.0|1|2|0|train
342|1.0|3|0|1|0|0|24.0|3|2|19950|263.0|1|5|0|train
343|0.0|2|0|0|0|1|28.0|0|0|248740|13.0|1|0|1|train
344|0.0|2|0|0|0|1|25.0|0|0|244361|13.0|1|0|1|train
345|0.0|2|0|0|0|1|36.0|0|0|229236|13.0|1|0|1|train
346|1.0|2|0|1|0|0|24.0|0|0|248733|13.0|1|0|1|train
347|1.0|2|0|1|0|0|40.0|0|0|31418|13.0|1|0|1|train
349|1.0|1|0|0|1|1|3.0|1|1|37671|15.9|1|2|0|train
350|0.0|1|0|0|0|1|42.0|0|0|315088|8.6625|1|0|1|train
351|0.0|1|0|0|0|1|23.0|0|0|7267|9.225|1|0|1|train
353|0.0|1|0|0|0|1|15.0|1|1|2695|7.2292|2|2|0|train
354|0.0|1|0|0|0|1|25.0|1|0|349237|17.8|1|1|0|train
356|0.0|1|0|0|0|1|28.0|0|0|345783|9.5|1|0|1|train
357|1.0|3|0|1|0|0|22.0|0|1|113505|55.0|1|1|0|train
358|0.0|2|0|1|0|0|38.0|0|0|237671|13.0|1|0|1|train
361|0.0|1|0|0|0|1|40.0|1|4|347088|27.9|1|5|0|train
362|0.0|2|0|0|0|1|29.0|1|0|2167|27.7208|2|1|0|train
363|0.0|1|1|0|0|0|45.0|0|1|2691|14.4542|2|1|0|train
364|0.0|1|0|0|0|1|35.0|0|0|3101310|7.05|1|0|1|train
366|0.0|1|0|0|0|1|30.0|0|0|7076|7.25|1|0|1|train
367|1.0|3|1|0|0|0|60.0|1|0|110813|75.25|2|1|0|train
370|1.0|3|1|0|0|0|24.0|0|0|17477|69.3|2|0|1|train
371|1.0|3|0|0|0|1|25.0|1|0|11765|55.4417|2|1|0|train
372|0.0|1|0|0|0|1|18.0|1|0|3101267|6.4958|1|1|0|train
373|0.0|1|0|0|0|1|19.0|0|0|323951|8.05|1|0|1|train
374|0.0|3|0|0|0|1|22.0|0|0|17760|135.6333|2|0|1|train
375|0.0|1|0|1|0|0|3.0|3|1|349909|21.075|1|4|0|train
377|1.0|1|0|1|0|0|22.0|0|0|7077|7.25|1|0|1|train
378|0.0|3|0|0|0|1|27.0|0|2|113503|211.5|2|2|0|train
379|0.0|1|0|0|0|1|20.0|0|0|2648|4.0125|2|0|1|train
380|0.0|1|0|0|0|1|19.0|0|0|347069|7.775|1|0|1|train
381|1.0|3|0|1|0|0|42.0|0|0|17757|227.525|2|0|1|train
382|1.0|1|0|1|0|0|1.0|0|2|2653|15.7417|2|2|0|train
383|0.0|1|0|0|0|1|32.0|0|0|3101293|7.925|1|0|1|train
384|1.0|3|1|0|0|0|35.0|1|0|113789|52.0|1|1|0|train
386|0.0|2|0|0|0|1|18.0|0|0|14879|73.5|1|0|1|train
387|0.0|1|0|0|1|1|1.0|5|2|2144|46.9|1|7|0|train
388|1.0|2|0|1|0|0|36.0|0|0|27849|13.0|1|0|1|train
390|1.0|2|0|1|0|0|17.0|0|0|1748|12.0|2|0|1|train
391|1.0|3|0|0|0|1|36.0|1|2|113760|120.0|1|3|0|train
392|1.0|1|0|0|0|1|21.0|0|0|350034|7.7958|1|0|1|train
393|0.0|1|0|0|0|1|28.0|2|0|3101277|7.925|1|2|0|train
394|1.0|3|0|1|0|0|23.0|1|0|35273|113.275|2|1|0|train
395|1.0|1|1|0|0|0|24.0|0|2|9549|16.7|1|2|0|train
396|0.0|1|0|0|0|1|22.0|0|0|350052|7.7958|1|0|1|train
397|0.0|1|0|1|0|0|31.0|0|0|350407|7.8542|1|0|1|train
398|0.0|2|0|0|0|1|46.0|0|0|28403|26.0|1|0|1|train
399|0.0|2|0|0|1|1|23.0|0|0|244278|10.5|1|0|1|train
400|1.0|2|1|0|0|0|28.0|0|0|240929|12.65|1|0|1|train
401|1.0|1|0|0|0|1|39.0|0|0|3101289|7.925|1|0|1|train
402|0.0|1|0|0|0|1|26.0|0|0|341826|8.05|1|0|1|train
403|0.0|1|0|1|0|0|21.0|1|0|4137|9.825|1|1|0|train
404|0.0|1|0|0|0|1|28.0|1|0|3101279|15.85|1|1|0|train
405|0.0|1|0|1|0|0|20.0|0|0|315096|8.6625|1|0|1|train
406|0.0|2|0|0|0|1|34.0|1|0|28664|21.0|1|1|0|train
407|0.0|1|0|0|0|1|51.0|0|0|347064|7.75|1|0|1|train
408|1.0|2|0|0|1|1|3.0|1|1|29106|18.75|1|2|0|train
409|0.0|1|0|0|0|1|21.0|0|0|312992|7.775|1|0|1|train
413|1.0|3|0|1|0|0|33.0|1|0|19928|90.0|3|1|0|train
415|1.0|1|0|0|0|1|44.0|0|0|3101269|7.925|1|0|1|train
417|1.0|2|1|0|0|0|34.0|1|1|28220|32.5|1|2|0|train
418|1.0|2|0|1|0|0|18.0|0|2|250652|13.0|1|2|0|train
419|0.0|2|0|0|0|1|30.0|0|0|28228|13.0|1|0|1|train
420|0.0|1|0|1|0|0|10.0|0|2|345773|24.15|1|2|0|train
422|0.0|1|0|0|0|1|21.0|0|0|13032|7.7333|3|0|1|train
423|0.0|1|0|0|0|1|29.0|0|0|315082|7.875|1|0|1|train
424|0.0|1|1|0|0|0|28.0|1|1|347080|14.4|1|2|0|train
425|0.0|1|0|0|0|1|18.0|1|1|370129|20.2125|1|2|0|train
427|1.0|2|1|0|0|0|28.0|1|0|2003|26.0|1|1|0|train
428|1.0|2|0|1|0|0|19.0|0|0|250655|26.0|1|0|1|train
430|1.0|1|0|0|0|1|32.0|0|0|392078|8.05|1|0|1|train
431|1.0|3|0|0|0|1|28.0|0|0|110564|26.55|1|0|1|train
433|1.0|2|1|0|0|0|42.0|1|0|3085|26.0|1|1|0|train
434|0.0|1|0|0|0|1|17.0|0|0|3101274|7.125|1|0|1|train
435|0.0|3|0|0|0|1|50.0|1|0|13507|55.9|1|1|0|train
436|1.0|3|0|1|0|0|14.0|1|2|113760|120.0|1|3|0|train
437|0.0|1|0|1|0|0|21.0|2|2|6608|34.375|1|4|0|train
438|1.0|2|1|0|0|0|24.0|2|3|29106|18.75|1|5|0|train
439|0.0|3|0|0|0|1|64.0|1|4|19950|263.0|1|5|0|train
