|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
LowQualFinSF|2919|2919|13703.0|4.69|0.0|0.0|0.0|2879|98.63|2152.67|46.4|0|0.0|2879|98.63|40|1.37|0|0.0|36|0.0|1064.0|1064.0|0.0|0.0|0.0|12.09|174.63
GrLivArea|2919|2919|4380718.0|1500.76|1423.34|1444.0|864.0|41|1.4|256087.66|506.05|0|0.0|0|0.0|2919|100.0|0|0.0|1292|334.0|5642.0|5308.0|1126.0|1743.5|617.5|1.27|4.11
BsmtFullBath|2919|2917|1254.0|0.43|0.0|0.0|0.0|1705|58.41|0.28|0.52|0|0.0|1705|58.41|1212|41.52|2|0.07|4|0.0|3.0|3.0|0.0|1.0|1.0|0.62|-0.74
BsmtHalfBath|2919|2917|179.0|0.06|0.0|0.0|0.0|2742|93.94|0.06|0.25|0|0.0|2742|93.94|175|6.0|2|0.07|3|0.0|2.0|2.0|0.0|0.0|0.0|3.93|14.82
FullBath|2919|2919|4577.0|1.57|0.0|2.0|2.0|1530|52.42|0.31|0.55|0|0.0|12|0.41|2907|99.59|0|0.0|5|0.0|4.0|4.0|1.0|2.0|1.0|0.17|-0.54
HalfBath|2919|2919|1110.0|0.38|0.0|0.0|0.0|1834|62.83|0.25|0.5|0|0.0|1834|62.83|1085|37.17|0|0.0|3|0.0|2.0|2.0|0.0|1.0|1.0|0.69|-1.03
BedroomAbvGr|2919|2919|8349.0|2.86|0.0|3.0|3.0|1596|54.68|0.68|0.82|0|0.0|8|0.27|2911|99.73|0|0.0|8|0.0|8.0|8.0|2.0|3.0|1.0|0.33|1.94
KitchenAbvGr|2919|2919|3049.0|1.04|0.0|1.0|1.0|2785|95.41|0.05|0.21|0|0.0|3|0.1|2916|99.9|0|0.0|4|0.0|3.0|3.0|1.0|1.0|0.0|4.3|19.74
TotRmsAbvGrd|2919|2919|18832.0|6.45|6.27|6.0|6.0|844|28.91|2.46|1.57|0|0.0|0|0.0|2919|100.0|0|0.0|14|2.0|15.0|13.0|5.0|7.0|2.0|0.76|1.17
Fireplaces|2919|2919|1743.0|0.6|0.0|1.0|0.0|1420|48.65|0.42|0.65|0|0.0|1420|48.65|1499|51.35|0|0.0|5|0.0|4.0|4.0|0.0|1.0|1.0|0.73|0.07
GarageYrBlt|2919|2760|5459593.0|1978.11|1977.95|1979.0||159|5.45|654.04|25.57|0|0.0|0|0.0|2760|94.55|159|5.45|103|1895.0|2207.0|312.0|1960.0|2002.0|42.0|-0.38|1.8
GarageCars|2919|2918|5155.0|1.77|0.0|2.0|2.0|1594|54.61|0.58|0.76|0|0.0|157|5.38|2761|94.59|1|0.03|6|0.0|5.0|5.0|1.0|2.0|1.0|-0.22|0.24
GarageArea|2919|2918|1379848.0|472.87|0.0|480.0|0.0|157|5.38|46394.93|215.39|0|0.0|157|5.38|2761|94.59|1|0.03|603|0.0|1488.0|1488.0|320.0|576.0|256.0|0.24|0.94
WoodDeckSF|2919|2919|273539.0|93.71|0.0|0.0|0.0|1523|52.18|16008.98|126.53|0|0.0|1523|52.18|1396|47.82|0|0.0|379|0.0|1424.0|1424.0|0.0|168.0|168.0|1.84|6.73
OpenPorchSF|2919|2919|138614.0|47.49|0.0|26.0|0.0|1298|44.47|4566.45|67.58|0|0.0|1298|44.47|1621|55.53|0|0.0|252|0.0|742.0|742.0|0.0|70.0|70.0|2.54|10.92
EnclosedPorch|2919|2919|67424.0|23.1|0.0|0.0|0.0|2460|84.28|4127.32|64.24|0|0.0|2460|84.28|459|15.72|0|0.0|183|0.0|1012.0|1012.0|0.0|0.0|0.0|4.0|28.33
3SsnPorch|2919|2919|7596.0|2.6|0.0|0.0|0.0|2882|98.73|634.44|25.19|0|0.0|2882|98.73|37|1.27|0|0.0|31|0.0|508.0|508.0|0.0|0.0|0.0|11.38|149.15
ScreenPorch|2919|2919|46886.0|16.06|0.0|0.0|0.0|2663|91.23|3156.68|56.18|0|0.0|2663|91.23|256|8.77|0|0.0|121|0.0|576.0|576.0|0.0|0.0|0.0|3.95|17.74
PoolArea|2919|2919|6573.0|2.25|0.0|0.0|0.0|2906|99.55|1271.92|35.66|0|0.0|2906|99.55|13|0.45|0|0.0|14|0.0|800.0|800.0|0.0|0.0|0.0|16.9|298.12
MiscVal|2919|2919|148361.0|50.83|0.0|0.0|0.0|2816|96.47|321945.27|567.4|0|0.0|2816|96.47|103|3.53|0|0.0|38|0.0|17000.0|17000.0|0.0|0.0|0.0|21.95|563.11
MoSold|2919|2919|18136.0|6.21|5.48|6.0|6.0|503|17.23|7.37|2.71|0|0.0|0|0.0|2919|100.0|0|0.0|12|1.0|12.0|11.0|4.0|8.0|4.0|0.2|-0.46
YrSold|2919|2919|5860747.0|2007.79|2007.79|2008.0|2007.0|692|23.71|1.73|1.31|0|0.0|0|0.0|2919|100.0|0|0.0|5|2006.0|2010.0|4.0|2007.0|2009.0|2.0|0.13|-1.16
SalePrice|2919|1460|264144946.0|180921.2|166716.64|163000.0||1459|49.98|6311111264.3|79442.5|0|0.0|0|0.0|1460|50.02|1459|49.98|663|34900.0|755000.0|720100.0|129975.0|214000.0|84025.0|1.88|6.51
logSalePrice|2919|1460|7624.09|5.22|5.22|5.21||1459|49.98|0.03|0.17|0|0.0|0|0.0|1460|50.02|1459|49.98|663|4.54|5.88|1.34|5.11|5.33|0.22|0.12|0.8
