LowQualFinSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
232|SalePrice|1|1|133000.0|133000.0|133000.0|133000.0|133000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|133000.0|133000.0|0.0|133000.0|133000.0|0.0|0.0|-3.0
234|SalePrice|1|1|84500.0|84500.0|84500.0|84500.0|84500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|84500.0|84500.0|0.0|84500.0|84500.0|0.0|0.0|-3.0
259|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
312|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
360|SalePrice|2|2|217500.0|108750.0|108597.88|108750.0|103000.0|1|50.0|66125000.0|8131.73|0|0.0|0|0.0|2|100.0|0|0.0|2|103000.0|114500.0|11500.0|105875.0|111625.0|5750.0|0.0|-2.0
362|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
371|SalePrice|1|1|104000.0|104000.0|104000.0|104000.0|104000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|104000.0|104000.0|0.0|104000.0|104000.0|0.0|0.0|-3.0
384|SalePrice|1|1|191000.0|191000.0|191000.0|191000.0|191000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|191000.0|191000.0|0.0|191000.0|191000.0|0.0|0.0|-3.0
390|SalePrice|1|1|130000.0|130000.0|130000.0|130000.0|130000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|130000.0|130000.0|0.0|130000.0|130000.0|0.0|0.0|-3.0
392|SalePrice|1|1|235000.0|235000.0|235000.0|235000.0|235000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|235000.0|235000.0|0.0|235000.0|235000.0|0.0|0.0|-3.0
397|SalePrice|1|1|197000.0|197000.0|197000.0|197000.0|197000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|197000.0|197000.0|0.0|197000.0|197000.0|0.0|0.0|-3.0
420|SalePrice|1|1|179500.0|179500.0|179500.0|179500.0|179500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|179500.0|179500.0|0.0|179500.0|179500.0|0.0|0.0|-3.0
431|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
436|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
450|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
473|SalePrice|1|1|115000.0|115000.0|115000.0|115000.0|115000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|115000.0|115000.0|0.0|115000.0|115000.0|0.0|0.0|-3.0
479|SalePrice|1|1|200500.0|200500.0|200500.0|200500.0|200500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|200500.0|200500.0|0.0|200500.0|200500.0|0.0|0.0|-3.0
481|SalePrice|1|1|118500.0|118500.0|118500.0|118500.0|118500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|118500.0|118500.0|0.0|118500.0|118500.0|0.0|0.0|-3.0
512|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
513|SalePrice|1|1|85000.0|85000.0|85000.0|85000.0|85000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|85000.0|85000.0|0.0|85000.0|85000.0|0.0|0.0|-3.0
514|SalePrice|1|1|102000.0|102000.0|102000.0|102000.0|102000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|102000.0|102000.0|0.0|102000.0|102000.0|0.0|0.0|-3.0
515|SalePrice|1|1|200000.0|200000.0|200000.0|200000.0|200000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|200000.0|200000.0|0.0|200000.0|200000.0|0.0|0.0|-3.0
528|SalePrice|1|1|128500.0|128500.0|128500.0|128500.0|128500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|128500.0|128500.0|0.0|128500.0|128500.0|0.0|0.0|-3.0
572|SalePrice|1|1|475000.0|475000.0|475000.0|475000.0|475000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|475000.0|475000.0|0.0|475000.0|475000.0|0.0|0.0|-3.0
697|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1064|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
