MiscVal|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
600|SalePrice|8|4|493400.0|123350.0|120122.03|134950.0||4|50.0|889123333.33|29818.17|0|0.0|0|0.0|4|50.0|4|50.0|4|79500.0|144000.0|64500.0|117375.0|140925.0|23550.0|-1.03|-0.78
620|SalePrice|1|1|88000.0|88000.0|88000.0|88000.0|88000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|88000.0|88000.0|0.0|88000.0|88000.0|0.0|0.0|-3.0
650|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
700|SalePrice|7|5|849450.0|169890.0|167415.85|160000.0||2|28.57|1186823000.0|34450.3|0|0.0|0|0.0|5|71.43|2|28.57|5|143000.0|228950.0|85950.0|149000.0|168500.0|19500.0|1.21|-0.14
750|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
800|SalePrice|1|1|110000.0|110000.0|110000.0|110000.0|110000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|110000.0|110000.0|0.0|110000.0|110000.0|0.0|0.0|-3.0
900|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1000|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
1150|SalePrice|1|1|256000.0|256000.0|256000.0|256000.0|256000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|256000.0|256000.0|0.0|256000.0|256000.0|0.0|0.0|-3.0
1200|SalePrice|3|2|245500.0|122750.0|121669.63|122750.0||1|33.33|528125000.0|22980.97|0|0.0|0|0.0|2|66.67|1|33.33|2|106500.0|139000.0|32500.0|114625.0|130875.0|16250.0|0.0|-2.0
1300|SalePrice|1|1|160000.0|160000.0|160000.0|160000.0|160000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|160000.0|160000.0|0.0|160000.0|160000.0|0.0|0.0|-3.0
1400|SalePrice|1|1|163000.0|163000.0|163000.0|163000.0|163000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|163000.0|163000.0|0.0|163000.0|163000.0|0.0|0.0|-3.0
1500|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
1512|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
2000|SalePrice|7|4|809800.0|202450.0|192672.78|207450.0||3|42.86|4945470000.0|70324.04|0|0.0|0|0.0|4|57.14|3|42.86|4|122900.0|272000.0|149100.0|154400.0|255500.0|101100.0|-0.12|-1.72
2500|SalePrice|2|1|266500.0|266500.0|266500.0|266500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|266500.0|266500.0|0.0|266500.0|266500.0|0.0|0.0|-3.0
3000|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
3500|SalePrice|1|1|55000.0|55000.0|55000.0|55000.0|55000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|55000.0|55000.0|0.0|55000.0|55000.0|0.0|0.0|-3.0
4500|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
6500|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
8300|SalePrice|1|1|190000.0|190000.0|190000.0|190000.0|190000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|190000.0|190000.0|0.0|190000.0|190000.0|0.0|0.0|-3.0
12500|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
15500|SalePrice|1|1|151500.0|151500.0|151500.0|151500.0|151500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|151500.0|151500.0|0.0|151500.0|151500.0|0.0|0.0|-3.0
17000|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
