EnclosedPorch|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
36|SalePrice|5|2|298900.0|149450.0|149144.56|149450.0||3|60.0|182405000.0|13505.74|0|0.0|0|0.0|2|40.0|3|60.0|2|139900.0|159000.0|19100.0|144675.0|154225.0|9550.0|0.0|-2.0
37|SalePrice|1|1|438780.0|438780.0|438780.0|438780.0|438780.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|438780.0|438780.0|0.0|438780.0|438780.0|0.0|0.0|-3.0
39|SalePrice|2|2|361500.0|180750.0|169692.37|180750.0|118500.0|1|50.0|7750125000.0|88034.79|0|0.0|0|0.0|2|100.0|0|0.0|2|118500.0|243000.0|124500.0|149625.0|211875.0|62250.0|0.0|-2.0
40|SalePrice|8|3|483350.0|161116.67|158911.96|143250.0||5|62.5|1142415833.33|33799.64|0|0.0|0|0.0|3|37.5|5|62.5|3|140000.0|200100.0|60100.0|141625.0|171675.0|30050.0|0.7|-1.5
41|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
42|SalePrice|4|1|169000.0|169000.0|169000.0|169000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|169000.0|169000.0|0.0|169000.0|169000.0|0.0|0.0|-3.0
43|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
44|SalePrice|1|1|163500.0|163500.0|163500.0|163500.0|163500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|163500.0|163500.0|0.0|163500.0|163500.0|0.0|0.0|-3.0
45|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
48|SalePrice|3|1|91000.0|91000.0|91000.0|91000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|91000.0|91000.0|0.0|91000.0|91000.0|0.0|0.0|-3.0
50|SalePrice|1|1|160000.0|160000.0|160000.0|160000.0|160000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|160000.0|160000.0|0.0|160000.0|160000.0|0.0|0.0|-3.0
51|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
52|SalePrice|2|1|179200.0|179200.0|179200.0|179200.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|179200.0|179200.0|0.0|179200.0|179200.0|0.0|0.0|-3.0
54|SalePrice|1|1|133000.0|133000.0|133000.0|133000.0|133000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|133000.0|133000.0|0.0|133000.0|133000.0|0.0|0.0|-3.0
55|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
56|SalePrice|5|1|159434.0|159434.0|159434.0|159434.0||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|159434.0|159434.0|0.0|159434.0|159434.0|0.0|0.0|-3.0
57|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
60|SalePrice|6|1|107000.0|107000.0|107000.0|107000.0||5|83.33|||0|0.0|0|0.0|1|16.67|5|83.33|1|107000.0|107000.0|0.0|107000.0|107000.0|0.0|0.0|-3.0
64|SalePrice|4|1|140000.0|140000.0|140000.0|140000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|140000.0|140000.0|0.0|140000.0|140000.0|0.0|0.0|-3.0
66|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
67|SalePrice|1|1|137500.0|137500.0|137500.0|137500.0|137500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|137500.0|137500.0|0.0|137500.0|137500.0|0.0|0.0|-3.0
68|SalePrice|3|1|157500.0|157500.0|157500.0|157500.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|157500.0|157500.0|0.0|157500.0|157500.0|0.0|0.0|-3.0
70|SalePrice|5|1|180000.0|180000.0|180000.0|180000.0||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|180000.0|180000.0|0.0|180000.0|180000.0|0.0|0.0|-3.0
72|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
75|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
77|SalePrice|4|2|162000.0|81000.0|80975.3|81000.0||2|50.0|8000000.0|2828.43|0|0.0|0|0.0|2|50.0|2|50.0|2|79000.0|83000.0|4000.0|80000.0|82000.0|2000.0|0.0|-2.0
78|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
80|SalePrice|5|2|220300.0|110150.0|108525.11|110150.0||3|60.0|710645000.0|26657.93|0|0.0|0|0.0|2|40.0|3|60.0|2|91300.0|129000.0|37700.0|100725.0|119575.0|18850.0|0.0|-2.0
81|SalePrice|3|1|139000.0|139000.0|139000.0|139000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|139000.0|139000.0|0.0|139000.0|139000.0|0.0|0.0|-3.0
84|SalePrice|8|2|253000.0|126500.0|126491.11|126500.0||6|75.0|4500000.0|2121.32|0|0.0|0|0.0|2|25.0|6|75.0|2|125000.0|128000.0|3000.0|125750.0|127250.0|1500.0|0.0|-2.0
86|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
87|SalePrice|1|1|68500.0|68500.0|68500.0|68500.0|68500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|68500.0|68500.0|0.0|68500.0|68500.0|0.0|0.0|-3.0
88|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
90|SalePrice|4|1|87000.0|87000.0|87000.0|87000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|87000.0|87000.0|0.0|87000.0|87000.0|0.0|0.0|-3.0
91|SalePrice|1|1|76000.0|76000.0|76000.0|76000.0|76000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|76000.0|76000.0|0.0|76000.0|76000.0|0.0|0.0|-3.0
92|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
94|SalePrice|2|1|86000.0|86000.0|86000.0|86000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|86000.0|86000.0|0.0|86000.0|86000.0|0.0|0.0|-3.0
96|SalePrice|13|6|610000.0|101666.67|98878.07|107000.0||7|53.85|550166666.67|23455.63|0|0.0|0|0.0|6|46.15|7|53.85|5|58500.0|120500.0|62000.0|98000.0|118250.0|20250.0|-1.12|-0.04
98|SalePrice|2|1|102776.0|102776.0|102776.0|102776.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|102776.0|102776.0|0.0|102776.0|102776.0|0.0|0.0|-3.0
99|SalePrice|1|1|182900.0|182900.0|182900.0|182900.0|182900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|182900.0|182900.0|0.0|182900.0|182900.0|0.0|0.0|-3.0
100|SalePrice|6|2|122000.0|61000.0|60704.2|61000.0||4|66.67|72000000.0|8485.28|0|0.0|0|0.0|2|33.33|4|66.67|2|55000.0|67000.0|12000.0|58000.0|64000.0|6000.0|0.0|-2.0
101|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
102|SalePrice|4|3|386400.0|128800.0|127531.09|118500.0|118500.0|1|25.0|518470000.0|22769.94|0|0.0|0|0.0|3|75.0|1|25.0|3|113000.0|154900.0|41900.0|115750.0|136700.0|20950.0|0.66|-1.5
104|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
105|SalePrice|4|1|119000.0|119000.0|119000.0|119000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|119000.0|119000.0|0.0|119000.0|119000.0|0.0|0.0|-3.0
108|SalePrice|2|2|275000.0|137500.0|137477.27|137500.0|135000.0|1|50.0|12500000.0|3535.53|0|0.0|0|0.0|2|100.0|0|0.0|2|135000.0|140000.0|5000.0|136250.0|138750.0|2500.0|0.0|-2.0
109|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
112|SalePrice|22|15|1813505.0|120900.33|119079.52|119000.0||7|31.82|476491215.95|21828.68|0|0.0|0|0.0|15|68.18|7|31.82|15|88000.0|165000.0|77000.0|105740.0|134500.0|28760.0|0.31|-0.65
113|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
114|SalePrice|2|2|347500.0|173750.0|166019.58|173750.0|122500.0|1|50.0|5253125000.0|72478.45|0|0.0|0|0.0|2|100.0|0|0.0|2|122500.0|225000.0|102500.0|148125.0|199375.0|51250.0|0.0|-2.0
115|SalePrice|2|2|161900.0|80950.0|66575.52|80950.0|127000.0|1|50.0|4241205000.0|65124.53|0|0.0|0|0.0|2|100.0|0|0.0|2|34900.0|127000.0|92100.0|57925.0|103975.0|46050.0|0.0|-2.0
116|SalePrice|8|4|498500.0|124625.0|123028.03|114000.0||4|50.0|593229166.67|24356.3|0|0.0|0|0.0|4|50.0|4|50.0|4|109500.0|161000.0|51500.0|112125.0|126500.0|14375.0|1.12|-0.69
117|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
120|SalePrice|9|5|649500.0|129900.0|128655.25|137000.0||4|44.44|391550000.0|19787.62|0|0.0|0|0.0|5|55.56|4|44.44|5|108000.0|148000.0|40000.0|109500.0|147000.0|37500.0|-0.28|-1.78
121|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
122|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
123|SalePrice|2|1|155000.0|155000.0|155000.0|155000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|155000.0|155000.0|0.0|155000.0|155000.0|0.0|0.0|-3.0
126|SalePrice|5|3|427500.0|142500.0|139747.16|135000.0||2|40.0|1215250000.0|34860.44|0|0.0|0|0.0|3|60.0|2|40.0|3|112000.0|180500.0|68500.0|123500.0|157750.0|34250.0|0.38|-1.5
128|SalePrice|7|3|325500.0|108500.0|105856.49|110000.0||4|57.14|828250000.0|28779.33|0|0.0|0|0.0|3|42.86|4|57.14|3|79000.0|136500.0|57500.0|94500.0|123250.0|28750.0|-0.1|-1.5
129|SalePrice|1|1|89000.0|89000.0|89000.0|89000.0|89000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|89000.0|89000.0|0.0|89000.0|89000.0|0.0|0.0|-3.0
130|SalePrice|1|1|115000.0|115000.0|115000.0|115000.0|115000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|115000.0|115000.0|0.0|115000.0|115000.0|0.0|0.0|-3.0
132|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
133|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
134|SalePrice|2|1|128000.0|128000.0|128000.0|128000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|128000.0|128000.0|0.0|128000.0|128000.0|0.0|0.0|-3.0
135|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
136|SalePrice|2|1|128000.0|128000.0|128000.0|128000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|128000.0|128000.0|0.0|128000.0|128000.0|0.0|0.0|-3.0
137|SalePrice|2|2|248000.0|124000.0|115152.07|124000.0|170000.0|1|50.0|4232000000.0|65053.82|0|0.0|0|0.0|2|100.0|0|0.0|2|78000.0|170000.0|92000.0|101000.0|147000.0|46000.0|0.0|-2.0
138|SalePrice|2|1|102000.0|102000.0|102000.0|102000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|102000.0|102000.0|0.0|102000.0|102000.0|0.0|0.0|-3.0
139|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
140|SalePrice|5|1|100000.0|100000.0|100000.0|100000.0||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|100000.0|100000.0|0.0|100000.0|100000.0|0.0|0.0|-3.0
143|SalePrice|2|1|159500.0|159500.0|159500.0|159500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|159500.0|159500.0|0.0|159500.0|159500.0|0.0|0.0|-3.0
144|SalePrice|11|5|701000.0|140200.0|129271.02|115000.0||6|54.55|4865700000.0|69754.57|0|0.0|0|0.0|5|45.45|6|54.55|5|86000.0|260000.0|174000.0|101000.0|139000.0|38000.0|1.22|-0.13
145|SalePrice|1|1|190000.0|190000.0|190000.0|190000.0|190000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|190000.0|190000.0|0.0|190000.0|190000.0|0.0|0.0|-3.0
148|SalePrice|5|1|107500.0|107500.0|107500.0|107500.0||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|107500.0|107500.0|0.0|107500.0|107500.0|0.0|0.0|-3.0
150|SalePrice|7|3|565000.0|188333.33|170636.88|137500.0||4|57.14|11493083333.33|107205.8|0|0.0|0|0.0|3|42.86|4|57.14|3|116000.0|311500.0|195500.0|126750.0|224500.0|97750.0|0.68|-1.5
154|SalePrice|3|2|379400.0|189700.0|176032.95|189700.0||1|33.33|9996980000.0|99984.9|0|0.0|0|0.0|2|66.67|1|33.33|2|119000.0|260400.0|141400.0|154350.0|225050.0|70700.0|0.0|-2.0
156|SalePrice|5|4|573500.0|143375.0|137046.78|146000.0||1|20.0|2211895833.33|47030.8|0|0.0|0|0.0|4|80.0|1|20.0|4|85000.0|196500.0|111500.0|120250.0|169125.0|48875.0|-0.17|-1.21
158|SalePrice|2|2|283700.0|141850.0|141632.62|141850.0|149700.0|1|50.0|123245000.0|11101.58|0|0.0|0|0.0|2|100.0|0|0.0|2|134000.0|149700.0|15700.0|137925.0|145775.0|7850.0|0.0|-2.0
160|SalePrice|7|2|282000.0|141000.0|136326.81|141000.0||5|71.43|2592000000.0|50911.69|0|0.0|0|0.0|2|28.57|5|71.43|2|105000.0|177000.0|72000.0|123000.0|159000.0|36000.0|0.0|-2.0
161|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
162|SalePrice|1|1|335000.0|335000.0|335000.0|335000.0|335000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|335000.0|335000.0|0.0|335000.0|335000.0|0.0|0.0|-3.0
164|SalePrice|5|3|281400.0|93800.0|90620.89|85000.0||2|40.0|946120000.0|30759.06|0|0.0|0|0.0|3|60.0|2|40.0|3|68400.0|128000.0|59600.0|76700.0|106500.0|29800.0|0.48|-1.5
165|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
167|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
168|SalePrice|9|2|246500.0|123250.0|122364.21|123250.0||7|77.78|435125000.0|20859.65|0|0.0|0|0.0|2|22.22|7|77.78|2|108500.0|138000.0|29500.0|115875.0|130625.0|14750.0|0.0|-2.0
169|SalePrice|3|1|175000.0|175000.0|175000.0|175000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|175000.0|175000.0|0.0|175000.0|175000.0|0.0|0.0|-3.0
170|SalePrice|2|1|213500.0|213500.0|213500.0|213500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|213500.0|213500.0|0.0|213500.0|213500.0|0.0|0.0|-3.0
172|SalePrice|1|1|40000.0|40000.0|40000.0|40000.0|40000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|40000.0|40000.0|0.0|40000.0|40000.0|0.0|0.0|-3.0
174|SalePrice|1|1|287000.0|287000.0|287000.0|287000.0|287000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|287000.0|287000.0|0.0|287000.0|287000.0|0.0|0.0|-3.0
175|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
176|SalePrice|5|3|367900.0|122633.33|119935.39|116900.0||2|40.0|1016903333.33|31888.92|0|0.0|0|0.0|3|60.0|2|40.0|3|94000.0|157000.0|63000.0|105450.0|136950.0|31500.0|0.32|-1.5
177|SalePrice|1|1|198500.0|198500.0|198500.0|198500.0|198500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|198500.0|198500.0|0.0|198500.0|198500.0|0.0|0.0|-3.0
180|SalePrice|7|2|317500.0|158750.0|157321.33|158750.0||5|71.43|903125000.0|30052.04|0|0.0|0|0.0|2|28.57|5|71.43|2|137500.0|180000.0|42500.0|148125.0|169375.0|21250.0|0.0|-2.0
183|SalePrice|2|1|152000.0|152000.0|152000.0|152000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|152000.0|152000.0|0.0|152000.0|152000.0|0.0|0.0|-3.0
184|SalePrice|3|3|382000.0|127333.33|125739.62|140000.0|140000.0|1|33.33|561333333.33|23692.47|0|0.0|0|0.0|3|100.0|0|0.0|3|100000.0|142000.0|42000.0|120000.0|141000.0|21000.0|-0.7|-1.5
185|SalePrice|2|2|298000.0|149000.0|140000.0|149000.0|200000.0|1|50.0|5202000000.0|72124.89|0|0.0|0|0.0|2|100.0|0|0.0|2|98000.0|200000.0|102000.0|123500.0|174500.0|51000.0|0.0|-2.0
186|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
189|SalePrice|1|1|153000.0|153000.0|153000.0|153000.0|153000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|153000.0|153000.0|0.0|153000.0|153000.0|0.0|0.0|-3.0
190|SalePrice|3|2|218500.0|109250.0|108034.72|109250.0||1|33.33|528125000.0|22980.97|0|0.0|0|0.0|2|66.67|1|33.33|2|93000.0|125500.0|32500.0|101125.0|117375.0|16250.0|0.0|-2.0
192|SalePrice|10|5|938500.0|187700.0|175826.41|213000.0||5|50.0|4488700000.0|66997.76|0|0.0|0|0.0|5|50.0|5|50.0|5|87000.0|262000.0|175000.0|159500.0|217000.0|57500.0|-0.55|-0.9
194|SalePrice|1|1|153900.0|153900.0|153900.0|153900.0|153900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|153900.0|153900.0|0.0|153900.0|153900.0|0.0|0.0|-3.0
196|SalePrice|2|1|139000.0|139000.0|139000.0|139000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|139000.0|139000.0|0.0|139000.0|139000.0|0.0|0.0|-3.0
198|SalePrice|1|1|105000.0|105000.0|105000.0|105000.0|105000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|105000.0|105000.0|0.0|105000.0|105000.0|0.0|0.0|-3.0
200|SalePrice|2|1|200624.0|200624.0|200624.0|200624.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|200624.0|200624.0|0.0|200624.0|200624.0|0.0|0.0|-3.0
202|SalePrice|2|2|510400.0|255200.0|208043.75|255200.0|403000.0|1|50.0|43689680000.0|209020.76|0|0.0|0|0.0|2|100.0|0|0.0|2|107400.0|403000.0|295600.0|181300.0|329100.0|147800.0|0.0|-2.0
203|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
204|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
205|SalePrice|4|2|269300.0|134650.0|134566.19|134650.0||2|50.0|45125000.0|6717.51|0|0.0|0|0.0|2|50.0|2|50.0|2|129900.0|139400.0|9500.0|132275.0|137025.0|4750.0|0.0|-2.0
207|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
208|SalePrice|2|1|117000.0|117000.0|117000.0|117000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|117000.0|117000.0|0.0|117000.0|117000.0|0.0|0.0|-3.0
209|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
210|SalePrice|1|1|106250.0|106250.0|106250.0|106250.0|106250.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|106250.0|106250.0|0.0|106250.0|106250.0|0.0|0.0|-3.0
211|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
212|SalePrice|3|1|163000.0|163000.0|163000.0|163000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|163000.0|163000.0|0.0|163000.0|163000.0|0.0|0.0|-3.0
213|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
214|SalePrice|1|1|124000.0|124000.0|124000.0|124000.0|124000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|124000.0|124000.0|0.0|124000.0|124000.0|0.0|0.0|-3.0
216|SalePrice|6|5|1060000.0|212000.0|201764.12|197000.0|223000.0|1|16.67|6215000000.0|78835.27|0|0.0|0|0.0|5|83.33|1|16.67|5|144000.0|341000.0|197000.0|155000.0|223000.0|68000.0|0.94|-0.5
218|SalePrice|3|1|147000.0|147000.0|147000.0|147000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|147000.0|147000.0|0.0|147000.0|147000.0|0.0|0.0|-3.0
219|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
220|SalePrice|1|1|133000.0|133000.0|133000.0|133000.0|133000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|133000.0|133000.0|0.0|133000.0|133000.0|0.0|0.0|-3.0
221|SalePrice|1|1|157000.0|157000.0|157000.0|157000.0|157000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|157000.0|157000.0|0.0|157000.0|157000.0|0.0|0.0|-3.0
222|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
224|SalePrice|3|2|463000.0|231500.0|231408.73|231500.0||1|33.33|84500000.0|9192.39|0|0.0|0|0.0|2|66.67|1|33.33|2|225000.0|238000.0|13000.0|228250.0|234750.0|6500.0|0.0|-2.0
225|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
226|SalePrice|1|1|85000.0|85000.0|85000.0|85000.0|85000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|85000.0|85000.0|0.0|85000.0|85000.0|0.0|0.0|-3.0
228|SalePrice|3|3|485000.0|161666.67|158740.11|160000.0|160000.0|1|33.33|1408333333.33|37527.77|0|0.0|0|0.0|3|100.0|0|0.0|3|125000.0|200000.0|75000.0|142500.0|180000.0|37500.0|0.08|-1.5
230|SalePrice|1|1|153500.0|153500.0|153500.0|153500.0|153500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|153500.0|153500.0|0.0|153500.0|153500.0|0.0|0.0|-3.0
231|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
234|SalePrice|2|2|453000.0|226500.0|221246.47|226500.0|275000.0|1|50.0|4704500000.0|68589.36|0|0.0|0|0.0|2|100.0|0|0.0|2|178000.0|275000.0|97000.0|202250.0|250750.0|48500.0|0.0|-2.0
236|SalePrice|3|2|167283.0|83641.5|80894.85|83641.5||1|33.33|903847644.5|30064.06|0|0.0|0|0.0|2|66.67|1|33.33|2|62383.0|104900.0|42517.0|73012.25|94270.75|21258.5|0.0|-2.0
238|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
