1stFlrSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
502|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
516|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
520|SalePrice|6|5|595552.0|119110.4|113179.68|144152.0|151000.0|1|16.67|1550905540.8|39381.54|0|0.0|0|0.0|5|83.33|1|16.67|5|68500.0|151000.0|82500.0|84500.0|147400.0|62900.0|-0.46|-1.69
525|SalePrice|5|1|88000.0|88000.0|88000.0|88000.0||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|88000.0|88000.0|0.0|88000.0|88000.0|0.0|0.0|-3.0
526|SalePrice|3|1|91000.0|91000.0|91000.0|91000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|91000.0|91000.0|0.0|91000.0|91000.0|0.0|0.0|-3.0
529|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
530|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
536|SalePrice|1|1|85000.0|85000.0|85000.0|85000.0|85000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|85000.0|85000.0|0.0|85000.0|85000.0|0.0|0.0|-3.0
540|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
546|SalePrice|15|3|246500.0|82166.67|81986.71|83500.0||12|80.0|43583333.33|6601.77|0|0.0|0|0.0|3|20.0|12|80.0|3|75000.0|88000.0|13000.0|79250.0|85750.0|6500.0|-0.36|-1.5
548|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
551|SalePrice|1|1|148800.0|148800.0|148800.0|148800.0|148800.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|148800.0|148800.0|0.0|148800.0|148800.0|0.0|0.0|-3.0
561|SalePrice|3|1|124000.0|124000.0|124000.0|124000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|124000.0|124000.0|0.0|124000.0|124000.0|0.0|0.0|-3.0
565|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
567|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
572|SalePrice|3|2|195900.0|97950.0|96099.43|97950.0||1|33.33|718205000.0|26799.35|0|0.0|0|0.0|2|66.67|1|33.33|2|79000.0|116900.0|37900.0|88475.0|107425.0|18950.0|0.0|-2.0
575|SalePrice|1|1|155000.0|155000.0|155000.0|155000.0|155000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|155000.0|155000.0|0.0|155000.0|155000.0|0.0|0.0|-3.0
576|SalePrice|2|1|139000.0|139000.0|139000.0|139000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|139000.0|139000.0|0.0|139000.0|139000.0|0.0|0.0|-3.0
581|SalePrice|1|1|101000.0|101000.0|101000.0|101000.0|101000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|101000.0|101000.0|0.0|101000.0|101000.0|0.0|0.0|-3.0
585|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
596|SalePrice|1|1|78000.0|78000.0|78000.0|78000.0|78000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|78000.0|78000.0|0.0|78000.0|78000.0|0.0|0.0|-3.0
599|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
600|SalePrice|7|2|188900.0|94450.0|75649.85|94450.0||5|71.43|6395805000.0|79973.78|0|0.0|0|0.0|2|28.57|5|71.43|2|37900.0|151000.0|113100.0|66175.0|122725.0|56550.0|0.0|-2.0
605|SalePrice|1|1|86000.0|86000.0|86000.0|86000.0|86000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|86000.0|86000.0|0.0|86000.0|86000.0|0.0|0.0|-3.0
608|SalePrice|4|0|0.0|||||4|100.0|||0|0.0|0|0.0|0|0.0|4|100.0|0|||||||0.0|0.0
612|SalePrice|3|2|338233.0|169116.5|169053.48|169116.5|173733.0|1|33.33|42624144.5|6528.72|0|0.0|0|0.0|2|66.67|1|33.33|2|164500.0|173733.0|9233.0|166808.25|171424.75|4616.5|0.0|-2.0
616|SalePrice|7|5|655932.0|131186.4|125000.17|115000.0||2|28.57|2187323724.8|46768.83|0|0.0|0|0.0|5|71.43|2|28.57|5|89000.0|200000.0|111000.0|95000.0|156932.0|61932.0|0.59|-1.18
617|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
621|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
624|SalePrice|7|2|258000.0|129000.0|125219.81|129000.0||5|71.43|1922000000.0|43840.62|0|0.0|0|0.0|2|28.57|5|71.43|2|98000.0|160000.0|62000.0|113500.0|144500.0|31000.0|0.0|-2.0
625|SalePrice|2|2|336600.0|168300.0|168261.49|168300.0|171900.0|1|50.0|25920000.0|5091.17|0|0.0|0|0.0|2|100.0|0|0.0|2|164700.0|171900.0|7200.0|166500.0|170100.0|3600.0|0.0|-2.0
626|SalePrice|1|1|120000.0|120000.0|120000.0|120000.0|120000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|120000.0|120000.0|0.0|120000.0|120000.0|0.0|0.0|-3.0
628|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
630|SalePrice|12|9|836500.0|92944.44|91822.85|86000.0||3|25.0|246715277.78|15707.17|0|0.0|0|0.0|9|75.0|3|25.0|9|75500.0|119500.0|44000.0|81000.0|106000.0|25000.0|0.61|-1.14
636|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
640|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
641|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
646|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
647|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
649|SalePrice|1|1|40000.0|40000.0|40000.0|40000.0|40000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|40000.0|40000.0|0.0|40000.0|40000.0|0.0|0.0|-3.0
658|SalePrice|1|1|81000.0|81000.0|81000.0|81000.0|81000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|81000.0|81000.0|0.0|81000.0|81000.0|0.0|0.0|-3.0
660|SalePrice|3|2|317000.0|158500.0|158461.35|158500.0||1|33.33|24500000.0|4949.75|0|0.0|0|0.0|2|66.67|1|33.33|2|155000.0|162000.0|7000.0|156750.0|160250.0|3500.0|0.0|-2.0
661|SalePrice|1|1|139000.0|139000.0|139000.0|139000.0|139000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|139000.0|139000.0|0.0|139000.0|139000.0|0.0|0.0|-3.0
662|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
663|SalePrice|1|1|158000.0|158000.0|158000.0|158000.0|158000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|158000.0|158000.0|0.0|158000.0|158000.0|0.0|0.0|-3.0
664|SalePrice|2|1|179665.0|179665.0|179665.0|179665.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|179665.0|179665.0|0.0|179665.0|179665.0|0.0|0.0|-3.0
665|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
666|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
671|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
672|SalePrice|17|11|1282300.0|116572.73|113724.73|113000.0||6|35.29|721016181.82|26851.74|0|0.0|0|0.0|11|64.71|6|35.29|10|80000.0|158900.0|78900.0|99750.0|134950.0|35200.0|0.15|-1.07
673|SalePrice|1|1|165000.0|165000.0|165000.0|165000.0|165000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|165000.0|165000.0|0.0|165000.0|165000.0|0.0|0.0|-3.0
676|SalePrice|3|1|66500.0|66500.0|66500.0|66500.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|66500.0|66500.0|0.0|66500.0|66500.0|0.0|0.0|-3.0
679|SalePrice|1|1|120000.0|120000.0|120000.0|120000.0|120000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|120000.0|120000.0|0.0|120000.0|120000.0|0.0|0.0|-3.0
680|SalePrice|4|1|185000.0|185000.0|185000.0|185000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|185000.0|185000.0|0.0|185000.0|185000.0|0.0|0.0|-3.0
682|SalePrice|1|1|110000.0|110000.0|110000.0|110000.0|110000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|110000.0|110000.0|0.0|110000.0|110000.0|0.0|0.0|-3.0
684|SalePrice|6|3|398504.0|132834.67|129893.53|114504.0||3|50.0|1276010005.33|35721.28|0|0.0|0|0.0|3|50.0|3|50.0|3|110000.0|174000.0|64000.0|112252.0|144252.0|32000.0|0.69|-1.5
686|SalePrice|3|1|116000.0|116000.0|116000.0|116000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|116000.0|116000.0|0.0|116000.0|116000.0|0.0|0.0|-3.0
687|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
689|SalePrice|2|2|322750.0|161375.0|161374.56|161375.0|161000.0|1|50.0|281250.0|530.33|0|0.0|0|0.0|2|100.0|0|0.0|2|161000.0|161750.0|750.0|161187.5|161562.5|375.0|0.0|-2.0
691|SalePrice|3|2|273500.0|136750.0|126984.25|136750.0|187500.0|1|33.33|5151125000.0|71771.34|0|0.0|0|0.0|2|66.67|1|33.33|2|86000.0|187500.0|101500.0|111375.0|162125.0|50750.0|0.0|-2.0
693|SalePrice|1|1|52500.0|52500.0|52500.0|52500.0|52500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|52500.0|52500.0|0.0|52500.0|52500.0|0.0|0.0|-3.0
694|SalePrice|3|3|301600.0|100533.33|100264.87|105000.0|106250.0|1|33.33|78165833.33|8841.14|0|0.0|0|0.0|3|100.0|0|0.0|3|90350.0|106250.0|15900.0|97675.0|105625.0|7950.0|-0.69|-1.5
696|SalePrice|1|1|155000.0|155000.0|155000.0|155000.0|155000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|155000.0|155000.0|0.0|155000.0|155000.0|0.0|0.0|-3.0
697|SalePrice|2|2|269200.0|134600.0|130981.53|134600.0|103600.0|1|50.0|1922000000.0|43840.62|0|0.0|0|0.0|2|100.0|0|0.0|2|103600.0|165600.0|62000.0|119100.0|150100.0|31000.0|0.0|-2.0
698|SalePrice|8|5|604475.0|120895.0|115728.87|118000.0||3|37.5|1393771375.0|37333.25|0|0.0|0|0.0|5|62.5|3|37.5|5|68400.0|159500.0|91100.0|105000.0|153575.0|48575.0|-0.3|-1.23
702|SalePrice|1|1|174000.0|174000.0|174000.0|174000.0|174000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|174000.0|174000.0|0.0|174000.0|174000.0|0.0|0.0|-3.0
703|SalePrice|2|1|146000.0|146000.0|146000.0|146000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|146000.0|146000.0|0.0|146000.0|146000.0|0.0|0.0|-3.0
704|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
707|SalePrice|4|2|313000.0|156500.0|155016.13|156500.0||2|50.0|924500000.0|30405.59|0|0.0|0|0.0|2|50.0|2|50.0|2|135000.0|178000.0|43000.0|145750.0|167250.0|21500.0|0.0|-2.0
708|SalePrice|2|2|262400.0|131200.0|121826.72|131200.0|179900.0|1|50.0|4743380000.0|68872.2|0|0.0|0|0.0|2|100.0|0|0.0|2|82500.0|179900.0|97400.0|106850.0|155550.0|48700.0|0.0|-2.0
709|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
712|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
713|SalePrice|3|1|183900.0|183900.0|183900.0|183900.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|183900.0|183900.0|0.0|183900.0|183900.0|0.0|0.0|-3.0
714|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
715|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
716|SalePrice|3|2|339500.0|169750.0|168711.29|169750.0||1|33.33|703125000.0|26516.5|0|0.0|0|0.0|2|66.67|1|33.33|2|151000.0|188500.0|37500.0|160375.0|179125.0|18750.0|0.0|-2.0
717|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
720|SalePrice|10|6|593300.0|98883.33|90161.25|107950.0||4|40.0|1514317666.67|38914.23|0|0.0|0|0.0|6|60.0|4|40.0|5|34900.0|135000.0|100100.0|80850.0|128750.0|47900.0|-0.69|-0.84
723|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
725|SalePrice|6|2|314500.0|157250.0|154958.06|157250.0||4|66.67|1431125000.0|37830.21|0|0.0|0|0.0|2|33.33|4|66.67|2|130500.0|184000.0|53500.0|143875.0|170625.0|26750.0|0.0|-2.0
727|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
728|SalePrice|12|6|1037150.0|172858.33|172525.79|174392.5||6|50.0|136702946.67|11692.0|0|0.0|0|0.0|6|50.0|6|50.0|6|155835.0|189000.0|33165.0|166188.75|178655.0|12466.25|-0.15|-0.94
729|SalePrice|4|3|403000.0|134333.33|116999.68|175000.0|175000.0|1|25.0|5084333333.33|71304.51|0|0.0|0|0.0|3|75.0|1|25.0|3|52000.0|176000.0|124000.0|113500.0|175500.0|62000.0|-0.71|-1.5
730|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
732|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
733|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
734|SalePrice|3|2|308140.0|154070.0|149292.46|154070.0|192140.0|1|33.33|2898649800.0|53839.11|0|0.0|0|0.0|2|66.67|1|33.33|2|116000.0|192140.0|76140.0|135035.0|173105.0|38070.0|0.0|-2.0
735|SalePrice|2|2|271000.0|135500.0|132883.41|135500.0|162000.0|1|50.0|1404500000.0|37476.66|0|0.0|0|0.0|2|100.0|0|0.0|2|109000.0|162000.0|53000.0|122250.0|148750.0|26500.0|0.0|-2.0
736|SalePrice|2|1|113000.0|113000.0|113000.0|113000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|113000.0|113000.0|0.0|113000.0|113000.0|0.0|0.0|-3.0
738|SalePrice|6|1|173500.0|173500.0|173500.0|173500.0||5|83.33|||0|0.0|0|0.0|1|16.67|5|83.33|1|173500.0|173500.0|0.0|173500.0|173500.0|0.0|0.0|-3.0
740|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
741|SalePrice|3|1|125500.0|125500.0|125500.0|125500.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|125500.0|125500.0|0.0|125500.0|125500.0|0.0|0.0|-3.0
742|SalePrice|3|3|474500.0|158166.67|156620.8|172500.0|174000.0|1|33.33|683083333.33|26135.86|0|0.0|0|0.0|3|100.0|0|0.0|3|128000.0|174000.0|46000.0|150250.0|173250.0|23000.0|-0.7|-1.5
743|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
744|SalePrice|5|0|0.0|||||5|100.0|||0|0.0|0|0.0|0|0.0|5|100.0|0|||||||0.0|0.0
745|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
747|SalePrice|3|2|159900.0|79950.0|79949.98|79950.0||1|33.33|5000.0|70.71|0|0.0|0|0.0|2|66.67|1|33.33|2|79900.0|80000.0|100.0|79925.0|79975.0|50.0|0.0|-2.0
750|SalePrice|1|1|173900.0|173900.0|173900.0|173900.0|173900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|173900.0|173900.0|0.0|173900.0|173900.0|0.0|0.0|-3.0
751|SalePrice|3|1|128000.0|128000.0|128000.0|128000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|128000.0|128000.0|0.0|128000.0|128000.0|0.0|0.0|-3.0
752|SalePrice|3|1|125000.0|125000.0|125000.0|125000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|125000.0|125000.0|0.0|125000.0|125000.0|0.0|0.0|-3.0
753|SalePrice|1|1|177500.0|177500.0|177500.0|177500.0|177500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|177500.0|177500.0|0.0|177500.0|177500.0|0.0|0.0|-3.0
754|SalePrice|6|1|167500.0|167500.0|167500.0|167500.0||5|83.33|||0|0.0|0|0.0|1|16.67|5|83.33|1|167500.0|167500.0|0.0|167500.0|167500.0|0.0|0.0|-3.0
755|SalePrice|2|1|108000.0|108000.0|108000.0|108000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|108000.0|108000.0|0.0|108000.0|108000.0|0.0|0.0|-3.0
756|SalePrice|7|4|616000.0|154000.0|152053.27|151750.0||3|42.86|803833333.33|28351.95|0|0.0|0|0.0|4|57.14|3|42.86|4|126000.0|186500.0|60500.0|132750.0|173000.0|40250.0|0.14|-1.69
757|SalePrice|4|2|307400.0|153700.0|151536.13|153700.0||2|50.0|1320980000.0|36345.29|0|0.0|0|0.0|2|50.0|2|50.0|2|128000.0|179400.0|51400.0|140850.0|166550.0|25700.0|0.0|-2.0
759|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
760|SalePrice|4|1|165400.0|165400.0|165400.0|165400.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|165400.0|165400.0|0.0|165400.0|165400.0|0.0|0.0|-3.0
761|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
763|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
764|SalePrice|8|6|964700.0|160783.33|152906.65|173500.0||2|25.0|2250721666.67|47441.77|0|0.0|0|0.0|6|75.0|2|25.0|6|73000.0|215200.0|142200.0|158750.0|175125.0|16375.0|-1.04|0.23
765|SalePrice|5|2|247500.0|123750.0|123743.69|123750.0||3|60.0|3125000.0|1767.77|0|0.0|0|0.0|2|40.0|3|60.0|2|122500.0|125000.0|2500.0|123125.0|124375.0|1250.0|0.0|-2.0
767|SalePrice|1|1|133000.0|133000.0|133000.0|133000.0|133000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|133000.0|133000.0|0.0|133000.0|133000.0|0.0|0.0|-3.0
768|SalePrice|13|5|658900.0|131780.0|131770.22|132000.0||8|61.54|3217000.0|1793.6|0|0.0|0|0.0|5|38.46|8|61.54|5|129500.0|133900.0|4400.0|130500.0|133000.0|2500.0|-0.13|-1.43
769|SalePrice|3|2|354500.0|177250.0|177249.82|177250.0|177500.0|1|33.33|125000.0|353.55|0|0.0|0|0.0|2|66.67|1|33.33|2|177000.0|177500.0|500.0|177125.0|177375.0|250.0|0.0|-2.0
770|SalePrice|1|1|185900.0|185900.0|185900.0|185900.0|185900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|185900.0|185900.0|0.0|185900.0|185900.0|0.0|0.0|-3.0
772|SalePrice|1|1|100000.0|100000.0|100000.0|100000.0|100000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|100000.0|100000.0|0.0|100000.0|100000.0|0.0|0.0|-3.0
773|SalePrice|3|3|425000.0|141666.67|137970.03|127000.0|188000.0|1|33.33|1682333333.33|41016.26|0|0.0|0|0.0|3|100.0|0|0.0|3|110000.0|188000.0|78000.0|118500.0|157500.0|39000.0|0.57|-1.5
774|SalePrice|8|5|820100.0|164020.0|151275.35|170000.0||3|37.5|5111252000.0|71493.02|0|0.0|0|0.0|5|62.5|3|37.5|5|79000.0|269500.0|190500.0|121600.0|180000.0|58400.0|0.37|-0.85
778|SalePrice|3|2|317500.0|158750.0|154073.03|158750.0||1|33.33|2926125000.0|54093.67|0|0.0|0|0.0|2|66.67|1|33.33|2|120500.0|197000.0|76500.0|139625.0|177875.0|38250.0|0.0|-2.0
779|SalePrice|2|2|263600.0|131800.0|120979.13|131800.0|184100.0|1|50.0|5470580000.0|73963.37|0|0.0|0|0.0|2|100.0|0|0.0|2|79500.0|184100.0|104600.0|105650.0|157950.0|52300.0|0.0|-2.0
780|SalePrice|9|5|631400.0|126280.0|124630.45|124900.0||4|44.44|492017000.0|22181.46|0|0.0|0|0.0|5|55.56|4|44.44|5|94000.0|152000.0|58000.0|119500.0|141000.0|21500.0|-0.35|-0.97
781|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
782|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
783|SalePrice|1|1|178900.0|178900.0|178900.0|178900.0|178900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|178900.0|178900.0|0.0|178900.0|178900.0|0.0|0.0|-3.0
784|SalePrice|6|2|185500.0|92750.0|91225.0|92750.0||4|66.67|561125000.0|23688.08|0|0.0|0|0.0|2|33.33|4|66.67|2|76000.0|109500.0|33500.0|84375.0|101125.0|16750.0|0.0|-2.0
786|SalePrice|2|2|344900.0|172450.0|168312.21|172450.0|134900.0|1|50.0|2820005000.0|53103.72|0|0.0|0|0.0|2|100.0|0|0.0|2|134900.0|210000.0|75100.0|153675.0|191225.0|37550.0|0.0|-2.0
788|SalePrice|3|2|284000.0|142000.0|135646.6|142000.0||1|33.33|3528000000.0|59396.97|0|0.0|0|0.0|2|66.67|1|33.33|2|100000.0|184000.0|84000.0|121000.0|163000.0|42000.0|0.0|-2.0
789|SalePrice|3|2|211500.0|105750.0|105344.67|105750.0||1|33.33|171125000.0|13081.48|0|0.0|0|0.0|2|66.67|1|33.33|2|96500.0|115000.0|18500.0|101125.0|110375.0|9250.0|0.0|-2.0
790|SalePrice|2|2|281000.0|140500.0|131491.44|140500.0|91000.0|1|50.0|4900500000.0|70003.57|0|0.0|0|0.0|2|100.0|0|0.0|2|91000.0|190000.0|99000.0|115750.0|165250.0|49500.0|0.0|-2.0
792|SalePrice|6|3|436000.0|145333.33|134448.64|109500.0||3|50.0|5418583333.33|73611.03|0|0.0|0|0.0|3|50.0|3|50.0|3|96500.0|230000.0|133500.0|103000.0|169750.0|66750.0|0.68|-1.5
793|SalePrice|2|1|119900.0|119900.0|119900.0|119900.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|119900.0|119900.0|0.0|119900.0|119900.0|0.0|0.0|-3.0
794|SalePrice|1|1|177000.0|177000.0|177000.0|177000.0|177000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|177000.0|177000.0|0.0|177000.0|177000.0|0.0|0.0|-3.0
795|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
