WoodDeckSF|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
86|SalePrice|1|1|143000.0|143000.0|143000.0|143000.0|143000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|143000.0|143000.0|0.0|143000.0|143000.0|0.0|0.0|-3.0
87|SalePrice|1|1|148500.0|148500.0|148500.0|148500.0|148500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|148500.0|148500.0|0.0|148500.0|148500.0|0.0|0.0|-3.0
88|SalePrice|5|3|362000.0|120666.67|116895.37|136000.0||2|40.0|1200333333.33|34645.83|0|0.0|0|0.0|3|60.0|2|40.0|3|81000.0|145000.0|64000.0|108500.0|140500.0|32000.0|-0.65|-1.5
89|SalePrice|1|1|199900.0|199900.0|199900.0|199900.0|199900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|199900.0|199900.0|0.0|199900.0|199900.0|0.0|0.0|-3.0
90|SalePrice|3|1|129900.0|129900.0|129900.0|129900.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|129900.0|129900.0|0.0|129900.0|129900.0|0.0|0.0|-3.0
92|SalePrice|3|1|98000.0|98000.0|98000.0|98000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|98000.0|98000.0|0.0|98000.0|98000.0|0.0|0.0|-3.0
94|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
95|SalePrice|1|1|185000.0|185000.0|185000.0|185000.0|185000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|185000.0|185000.0|0.0|185000.0|185000.0|0.0|0.0|-3.0
96|SalePrice|8|6|904500.0|150750.0|140309.19|142750.0||2|25.0|3829875000.0|61885.98|0|0.0|0|0.0|6|75.0|2|25.0|6|75500.0|251000.0|175500.0|114500.0|176250.0|61750.0|0.49|-0.76
97|SalePrice|1|1|328900.0|328900.0|328900.0|328900.0|328900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|328900.0|328900.0|0.0|328900.0|328900.0|0.0|0.0|-3.0
98|SalePrice|1|1|174000.0|174000.0|174000.0|174000.0|174000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|174000.0|174000.0|0.0|174000.0|174000.0|0.0|0.0|-3.0
99|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
100|SalePrice|74|36|6735674.0|187102.06|185732.68|182167.0||38|51.35|533872104.4|23105.67|0|0.0|0|0.0|36|48.65|38|51.35|35|129900.0|240000.0|110100.0|173225.0|196500.0|23275.0|0.43|0.42
102|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
103|SalePrice|1|1|225000.0|225000.0|225000.0|225000.0|225000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|225000.0|225000.0|0.0|225000.0|225000.0|0.0|0.0|-3.0
104|SalePrice|4|4|668500.0|167125.0|156199.82|128250.0|127000.0|2|50.0|6176729166.67|78592.17|0|0.0|0|0.0|4|100.0|0|0.0|3|127000.0|285000.0|158000.0|127000.0|168375.0|41375.0|1.15|-0.67
105|SalePrice|6|5|1146400.0|229280.0|224758.98|206000.0|195400.0|1|16.67|3026892000.0|55017.2|0|0.0|0|0.0|5|83.33|1|16.67|5|194000.0|325000.0|131000.0|195400.0|226000.0|30600.0|1.31|-0.03
106|SalePrice|2|2|215900.0|107950.0|107930.53|107950.0|105900.0|1|50.0|8405000.0|2899.14|0|0.0|0|0.0|2|100.0|0|0.0|2|105900.0|110000.0|4100.0|106925.0|108975.0|2050.0|0.0|-2.0
108|SalePrice|10|3|593740.0|197913.33|196488.77|202500.0||7|70.0|821202533.33|28656.63|0|0.0|0|0.0|3|30.0|7|70.0|3|167240.0|224000.0|56760.0|184870.0|213250.0|28380.0|-0.29|-1.5
110|SalePrice|3|1|167000.0|167000.0|167000.0|167000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|167000.0|167000.0|0.0|167000.0|167000.0|0.0|0.0|-3.0
112|SalePrice|8|3|435200.0|145066.67|142659.26|141500.0||5|62.5|1056063333.33|32497.13|0|0.0|0|0.0|3|37.5|5|62.5|3|114500.0|179200.0|64700.0|128000.0|160350.0|32350.0|0.2|-1.5
113|SalePrice|3|3|890432.0|296810.67|283524.6|309000.0|187000.0|1|33.33|10868443541.33|104251.83|0|0.0|0|0.0|3|100.0|0|0.0|3|187000.0|394432.0|207432.0|248000.0|351716.0|103716.0|-0.21|-1.5
114|SalePrice|5|2|431500.0|215750.0|207454.81|215750.0||3|60.0|7021125000.0|83792.15|0|0.0|0|0.0|2|40.0|3|60.0|2|156500.0|275000.0|118500.0|186125.0|245375.0|59250.0|0.0|-2.0
115|SalePrice|2|2|375500.0|187750.0|187129.63|187750.0|203000.0|1|50.0|465125000.0|21566.76|0|0.0|0|0.0|2|100.0|0|0.0|2|172500.0|203000.0|30500.0|180125.0|195375.0|15250.0|0.0|-2.0
116|SalePrice|3|2|264500.0|132250.0|131681.43|132250.0|144500.0|1|33.33|300125000.0|17324.12|0|0.0|0|0.0|2|66.67|1|33.33|2|120000.0|144500.0|24500.0|126125.0|138375.0|12250.0|0.0|-2.0
117|SalePrice|2|1|116500.0|116500.0|116500.0|116500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|116500.0|116500.0|0.0|116500.0|116500.0|0.0|0.0|-3.0
118|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
119|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
120|SalePrice|53|31|5287254.0|170556.58|162022.65|168500.0||22|41.51|3450893079.25|58744.3|0|0.0|0|0.0|31|58.49|22|41.51|30|83500.0|383970.0|300470.0|136200.0|192600.5|56400.5|1.5|3.85
121|SalePrice|2|1|135500.0|135500.0|135500.0|135500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|135500.0|135500.0|0.0|135500.0|135500.0|0.0|0.0|-3.0
122|SalePrice|2|2|524500.0|262250.0|254876.44|262250.0|200500.0|1|50.0|7626125000.0|87327.69|0|0.0|0|0.0|2|100.0|0|0.0|2|200500.0|324000.0|123500.0|231375.0|293125.0|61750.0|0.0|-2.0
123|SalePrice|4|2|455000.0|227500.0|227376.34|227500.0||2|50.0|112500000.0|10606.6|0|0.0|0|0.0|2|50.0|2|50.0|2|220000.0|235000.0|15000.0|223750.0|231250.0|7500.0|0.0|-2.0
124|SalePrice|3|1|415298.0|415298.0|415298.0|415298.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|415298.0|415298.0|0.0|415298.0|415298.0|0.0|0.0|-3.0
125|SalePrice|5|4|1095870.0|273967.5|259024.78|247500.0|424870.0|1|20.0|11960917558.33|109365.98|0|0.0|0|0.0|4|80.0|1|20.0|4|176000.0|424870.0|248870.0|205250.0|316217.5|110967.5|0.67|-1.07
126|SalePrice|2|1|446261.0|446261.0|446261.0|446261.0|446261.0|1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|446261.0|446261.0|0.0|446261.0|446261.0|0.0|0.0|-3.0
127|SalePrice|3|2|485000.0|242500.0|241867.73|242500.0||1|33.33|612500000.0|24748.74|0|0.0|0|0.0|2|66.67|1|33.33|2|225000.0|260000.0|35000.0|233750.0|251250.0|17500.0|0.0|-2.0
128|SalePrice|9|2|414000.0|207000.0|195512.15|207000.0||7|77.78|9248000000.0|96166.52|0|0.0|0|0.0|2|22.22|7|77.78|2|139000.0|275000.0|136000.0|173000.0|241000.0|68000.0|0.0|-2.0
129|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
130|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
131|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
132|SalePrice|9|6|1215165.0|202527.5|197924.2|198500.0||3|33.33|2383104537.5|48817.05|0|0.0|0|0.0|6|66.67|3|33.33|6|140000.0|290000.0|150000.0|187750.0|202623.75|14873.75|0.79|0.12
133|SalePrice|2|1|187500.0|187500.0|187500.0|187500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|187500.0|187500.0|0.0|187500.0|187500.0|0.0|0.0|-3.0
134|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
135|SalePrice|7|2|432356.0|216178.0|215769.84|216178.0||5|71.43|352610568.0|18777.93|0|0.0|0|0.0|2|28.57|5|71.43|2|202900.0|229456.0|26556.0|209539.0|222817.0|13278.0|0.0|-2.0
136|SalePrice|8|2|324000.0|162000.0|158173.95|162000.0||6|75.0|2450000000.0|49497.47|0|0.0|0|0.0|2|25.0|6|75.0|2|127000.0|197000.0|70000.0|144500.0|179500.0|35000.0|0.0|-2.0
138|SalePrice|5|2|316500.0|158250.0|157561.1|158250.0||3|60.0|435125000.0|20859.65|0|0.0|0|0.0|2|40.0|3|60.0|2|143500.0|173000.0|29500.0|150875.0|165625.0|14750.0|0.0|-2.0
139|SalePrice|1|1|210000.0|210000.0|210000.0|210000.0|210000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|210000.0|210000.0|0.0|210000.0|210000.0|0.0|0.0|-3.0
140|SalePrice|29|15|2616500.0|174433.33|165287.62|144000.0||14|48.28|4906706666.67|70047.89|0|0.0|0|0.0|15|51.72|14|48.28|14|125000.0|392000.0|267000.0|135100.0|191500.0|56400.0|2.2|4.3
141|SalePrice|3|1|115000.0|115000.0|115000.0|115000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|115000.0|115000.0|0.0|115000.0|115000.0|0.0|0.0|-3.0
142|SalePrice|4|3|499665.0|166555.0|162738.49|160000.0||1|25.0|1938203325.0|44025.03|0|0.0|0|0.0|3|75.0|1|25.0|3|126175.0|213490.0|87315.0|143087.5|186745.0|43657.5|0.27|-1.5
143|SalePrice|14|6|1185900.0|197650.0|196548.6|193500.0||8|57.14|538235000.0|23199.89|0|0.0|0|0.0|6|42.86|8|57.14|6|174000.0|234000.0|60000.0|180050.0|209875.0|29825.0|0.52|-1.03
144|SalePrice|61|33|7231928.0|219149.33|207557.74|212900.0||28|45.9|5673936396.23|75325.54|0|0.0|0|0.0|33|54.1|28|45.9|32|91300.0|485000.0|393700.0|181000.0|240000.0|59000.0|1.34|3.52
145|SalePrice|2|1|130250.0|130250.0|130250.0|130250.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|130250.0|130250.0|0.0|130250.0|130250.0|0.0|0.0|-3.0
146|SalePrice|4|2|392000.0|196000.0|195959.18|196000.0||2|50.0|32000000.0|5656.85|0|0.0|0|0.0|2|50.0|2|50.0|2|192000.0|200000.0|8000.0|194000.0|198000.0|4000.0|0.0|-2.0
147|SalePrice|7|4|694050.0|173512.5|151770.32|122725.0||3|42.86|13296037291.67|115308.44|0|0.0|0|0.0|4|57.14|3|42.86|4|103600.0|345000.0|241400.0|106900.0|189337.5|82437.5|1.1|-0.72
148|SalePrice|4|2|336900.0|168450.0|168417.67|168450.0||2|50.0|21780000.0|4666.9|0|0.0|0|0.0|2|50.0|2|50.0|2|165150.0|171750.0|6600.0|166800.0|170100.0|3300.0|0.0|-2.0
149|SalePrice|3|3|439300.0|146433.33|146382.24|149000.0|149300.0|1|33.33|22163333.33|4707.79|0|0.0|0|0.0|3|100.0|0|0.0|3|141000.0|149300.0|8300.0|145000.0|149150.0|4150.0|-0.7|-1.5
150|SalePrice|9|3|529500.0|176500.0|165337.39|134500.0||6|66.67|6725250000.0|82007.62|0|0.0|0|0.0|3|33.33|6|66.67|3|124000.0|271000.0|147000.0|129250.0|202750.0|73500.0|0.69|-1.5
152|SalePrice|4|0|0.0|||||4|100.0|||0|0.0|0|0.0|0|0.0|4|100.0|0|||||||0.0|0.0
153|SalePrice|1|1|165000.0|165000.0|165000.0|165000.0|165000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|165000.0|165000.0|0.0|165000.0|165000.0|0.0|0.0|-3.0
154|SalePrice|7|2|392953.0|196476.5|189045.63|196476.5||5|71.43|5729530104.5|75693.66|0|0.0|0|0.0|2|28.57|5|71.43|2|142953.0|250000.0|107047.0|169714.75|223238.25|53523.5|0.0|-2.0
155|SalePrice|4|2|309000.0|154500.0|150366.22|154500.0||2|50.0|2520500000.0|50204.58|0|0.0|0|0.0|2|50.0|2|50.0|2|119000.0|190000.0|71000.0|136750.0|172250.0|35500.0|0.0|-2.0
156|SalePrice|12|6|1416361.0|236060.17|226483.49|202750.0||6|50.0|7038964320.17|83898.54|0|0.0|0|0.0|6|50.0|6|50.0|6|181000.0|402861.0|221861.0|192250.0|229375.0|37125.0|1.6|0.83
157|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
158|SalePrice|7|4|627000.0|156750.0|145121.07|165250.0||3|42.86|4435416666.67|66598.92|0|0.0|0|0.0|4|57.14|3|42.86|4|82500.0|214000.0|131500.0|109500.0|212500.0|103000.0|-0.14|-1.81
159|SalePrice|1|1|340000.0|340000.0|340000.0|340000.0|340000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|340000.0|340000.0|0.0|340000.0|340000.0|0.0|0.0|-3.0
160|SalePrice|17|8|1793350.0|224168.75|218431.16|248675.0||9|52.94|2636513526.79|51346.99|0|0.0|0|0.0|8|47.06|9|52.94|8|143000.0|279500.0|136500.0|181750.0|260375.0|78625.0|-0.56|-1.32
161|SalePrice|4|2|397578.0|198789.0|192959.27|198789.0||2|50.0|4567577042.0|67583.85|0|0.0|0|0.0|2|50.0|2|50.0|2|151000.0|246578.0|95578.0|174894.5|222683.5|47789.0|0.0|-2.0
162|SalePrice|5|1|392500.0|392500.0|392500.0|392500.0||4|80.0|||0|0.0|0|0.0|1|20.0|4|80.0|1|392500.0|392500.0|0.0|392500.0|392500.0|0.0|0.0|-3.0
164|SalePrice|4|3|373500.0|124500.0|120027.77|131000.0|82500.0|1|25.0|1533250000.0|39156.74|0|0.0|0|0.0|3|75.0|1|25.0|3|82500.0|160000.0|77500.0|106750.0|145500.0|38750.0|-0.3|-1.5
165|SalePrice|5|3|568400.0|189466.67|182501.74|180000.0||2|40.0|4011053333.33|63332.88|0|0.0|0|0.0|3|60.0|2|40.0|3|131400.0|257000.0|125600.0|155700.0|218500.0|62800.0|0.27|-1.5
166|SalePrice|2|2|327500.0|163750.0|154849.93|163750.0|110500.0|1|50.0|5671125000.0|75306.87|0|0.0|0|0.0|2|100.0|0|0.0|2|110500.0|217000.0|106500.0|137125.0|190375.0|53250.0|0.0|-2.0
167|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
168|SalePrice|56|28|5855757.0|209134.18|196712.01|193939.5||28|50.0|5557623028.15|74549.47|0|0.0|0|0.0|28|50.0|28|50.0|28|108000.0|395192.0|287192.0|145375.0|254508.5|109133.5|0.56|-0.4
169|SalePrice|4|2|470700.0|235350.0|234485.82|235350.0||2|50.0|812045000.0|28496.4|0|0.0|0|0.0|2|50.0|2|50.0|2|215200.0|255500.0|40300.0|225275.0|245425.0|20150.0|0.0|-2.0
170|SalePrice|4|1|196000.0|196000.0|196000.0|196000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|196000.0|196000.0|0.0|196000.0|196000.0|0.0|0.0|-3.0
171|SalePrice|6|5|1713872.0|342774.4|295658.85|271000.0|271000.0|1|16.67|53873674476.8|232107.03|0|0.0|0|0.0|5|83.33|1|16.67|5|156000.0|745000.0|589000.0|230000.0|311872.0|81872.0|1.27|-0.03
172|SalePrice|7|3|732993.0|244331.0|241600.43|230000.0||4|57.14|2089725183.0|45713.51|0|0.0|0|0.0|3|42.86|4|57.14|3|207500.0|295493.0|87993.0|218750.0|262746.5|43996.5|0.52|-1.5
173|SalePrice|3|1|143500.0|143500.0|143500.0|143500.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|143500.0|143500.0|0.0|143500.0|143500.0|0.0|0.0|-3.0
174|SalePrice|4|0|0.0|||||4|100.0|||0|0.0|0|0.0|0|0.0|4|100.0|0|||||||0.0|0.0
175|SalePrice|1|1|123000.0|123000.0|123000.0|123000.0|123000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|123000.0|123000.0|0.0|123000.0|123000.0|0.0|0.0|-3.0
176|SalePrice|6|1|168500.0|168500.0|168500.0|168500.0||5|83.33|||0|0.0|0|0.0|1|16.67|5|83.33|1|168500.0|168500.0|0.0|168500.0|168500.0|0.0|0.0|-3.0
177|SalePrice|2|1|281000.0|281000.0|281000.0|281000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|281000.0|281000.0|0.0|281000.0|281000.0|0.0|0.0|-3.0
