ScreenPorch|Attr|size|count|sum|mean|geo_mean|median|mode|mode_cnt|mode_prct|var|sdev|neg_cnt|neg_perc|zero_cnt|zero_perc|pos_cnt|pos_perc|nan_cnt|nan_perc|nunique|minimum|maximum|range|quartile_1|quartile_3|iqr|skew|kurtosis
116|SalePrice|2|1|169000.0|169000.0|169000.0|169000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|169000.0|169000.0|0.0|169000.0|169000.0|0.0|0.0|-3.0
117|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
119|SalePrice|1|1|179900.0|179900.0|179900.0|179900.0|179900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|179900.0|179900.0|0.0|179900.0|179900.0|0.0|0.0|-3.0
120|SalePrice|9|5|838500.0|167700.0|152098.96|133000.0||4|44.44|8018700000.0|89547.19|0|0.0|0|0.0|5|55.56|4|44.44|5|88000.0|319000.0|231000.0|127500.0|171000.0|43500.0|1.11|-0.24
121|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
122|SalePrice|1|1|141000.0|141000.0|141000.0|141000.0|141000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|141000.0|141000.0|0.0|141000.0|141000.0|0.0|0.0|-3.0
123|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
126|SalePrice|4|3|449000.0|149666.67|149328.2|144000.0||1|25.0|156333333.33|12503.33|0|0.0|0|0.0|3|75.0|1|25.0|3|141000.0|164000.0|23000.0|142500.0|154000.0|11500.0|0.66|-1.5
128|SalePrice|1|1|159000.0|159000.0|159000.0|159000.0|159000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|159000.0|159000.0|0.0|159000.0|159000.0|0.0|0.0|-3.0
130|SalePrice|1|1|136000.0|136000.0|136000.0|136000.0|136000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|136000.0|136000.0|0.0|136000.0|136000.0|0.0|0.0|-3.0
135|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
138|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
140|SalePrice|2|1|212000.0|212000.0|212000.0|212000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|212000.0|212000.0|0.0|212000.0|212000.0|0.0|0.0|-3.0
141|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
142|SalePrice|3|2|605298.0|302649.0|280903.22|302649.0||1|33.33|25379594402.0|159309.74|0|0.0|0|0.0|2|66.67|1|33.33|2|190000.0|415298.0|225298.0|246324.5|358973.5|112649.0|0.0|-2.0
143|SalePrice|1|1|167500.0|167500.0|167500.0|167500.0|167500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|167500.0|167500.0|0.0|167500.0|167500.0|0.0|0.0|-3.0
144|SalePrice|13|3|582000.0|194000.0|193824.62|192000.0||10|76.92|103000000.0|10148.89|0|0.0|0|0.0|3|23.08|10|76.92|3|185000.0|205000.0|20000.0|188500.0|198500.0|10000.0|0.35|-1.5
145|SalePrice|2|1|234000.0|234000.0|234000.0|234000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|234000.0|234000.0|0.0|234000.0|234000.0|0.0|0.0|-3.0
147|SalePrice|3|3|506650.0|168883.33|168761.01|165150.0|163500.0|1|33.33|63015833.33|7938.25|0|0.0|0|0.0|3|100.0|0|0.0|3|163500.0|178000.0|14500.0|164325.0|171575.0|7250.0|0.67|-1.5
148|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
150|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
152|SalePrice|1|1|167000.0|167000.0|167000.0|167000.0|167000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|167000.0|167000.0|0.0|167000.0|167000.0|0.0|0.0|-3.0
153|SalePrice|4|1|235000.0|235000.0|235000.0|235000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|235000.0|235000.0|0.0|235000.0|235000.0|0.0|0.0|-3.0
154|SalePrice|1|1|277000.0|277000.0|277000.0|277000.0|277000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|277000.0|277000.0|0.0|277000.0|277000.0|0.0|0.0|-3.0
155|SalePrice|4|1|275000.0|275000.0|275000.0|275000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|275000.0|275000.0|0.0|275000.0|275000.0|0.0|0.0|-3.0
156|SalePrice|4|1|135000.0|135000.0|135000.0|135000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|135000.0|135000.0|0.0|135000.0|135000.0|0.0|0.0|-3.0
160|SalePrice|6|3|372000.0|124000.0|123697.15|129000.0||3|50.0|109000000.0|10440.31|0|0.0|0|0.0|3|50.0|3|50.0|3|112000.0|131000.0|19000.0|120500.0|130000.0|9500.0|-0.68|-1.5
161|SalePrice|3|1|289000.0|289000.0|289000.0|289000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|289000.0|289000.0|0.0|289000.0|289000.0|0.0|0.0|-3.0
162|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
163|SalePrice|1|1|177000.0|177000.0|177000.0|177000.0|177000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|177000.0|177000.0|0.0|177000.0|177000.0|0.0|0.0|-3.0
164|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
165|SalePrice|2|1|127500.0|127500.0|127500.0|127500.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|127500.0|127500.0|0.0|127500.0|127500.0|0.0|0.0|-3.0
166|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
168|SalePrice|10|3|674370.0|224790.0|199550.99|164900.0||7|70.0|19391794300.0|139254.42|0|0.0|0|0.0|3|30.0|7|70.0|3|125500.0|383970.0|258470.0|145200.0|274435.0|129235.0|0.64|-1.5
170|SalePrice|2|2|829900.0|414950.0|390601.46|414950.0|555000.0|1|50.0|39228005000.0|198060.61|0|0.0|0|0.0|2|100.0|0|0.0|2|274900.0|555000.0|280100.0|344925.0|484975.0|140050.0|0.0|-2.0
171|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
174|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
175|SalePrice|3|1|240000.0|240000.0|240000.0|240000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|240000.0|240000.0|0.0|240000.0|240000.0|0.0|0.0|-3.0
176|SalePrice|2|2|311000.0|155500.0|155074.18|155500.0|167000.0|1|50.0|264500000.0|16263.46|0|0.0|0|0.0|2|100.0|0|0.0|2|144000.0|167000.0|23000.0|149750.0|161250.0|11500.0|0.0|-2.0
178|SalePrice|1|1|165500.0|165500.0|165500.0|165500.0|165500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|165500.0|165500.0|0.0|165500.0|165500.0|0.0|0.0|-3.0
180|SalePrice|7|4|970000.0|242500.0|235686.07|229000.0||3|42.86|4697666666.67|68539.53|0|0.0|0|0.0|4|57.14|3|42.86|4|175000.0|337000.0|162000.0|207250.0|264250.0|57000.0|0.62|-0.97
182|SalePrice|3|1|162000.0|162000.0|162000.0|162000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|162000.0|162000.0|0.0|162000.0|162000.0|0.0|0.0|-3.0
184|SalePrice|2|2|359500.0|179750.0|179457.52|179750.0|190000.0|1|50.0|210125000.0|14495.69|0|0.0|0|0.0|2|100.0|0|0.0|2|169500.0|190000.0|20500.0|174625.0|184875.0|10250.0|0.0|-2.0
185|SalePrice|1|1|159000.0|159000.0|159000.0|159000.0|159000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|159000.0|159000.0|0.0|159000.0|159000.0|0.0|0.0|-3.0
189|SalePrice|4|4|839900.0|209975.0|205347.65|192500.0|287000.0|1|25.0|2875469166.67|53623.4|0|0.0|0|0.0|4|100.0|0|0.0|4|167900.0|287000.0|119100.0|176975.0|225500.0|48525.0|0.89|-0.9
190|SalePrice|1|1|176500.0|176500.0|176500.0|176500.0|176500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|176500.0|176500.0|0.0|176500.0|176500.0|0.0|0.0|-3.0
192|SalePrice|11|6|1383433.0|230572.17|196161.56|161000.0||5|45.45|30604797648.17|174942.27|0|0.0|0|0.0|6|54.55|5|45.45|6|132500.0|582933.0|450433.0|140250.0|199750.0|59500.0|1.69|1.01
195|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
196|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
197|SalePrice|1|1|161500.0|161500.0|161500.0|161500.0|161500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|161500.0|161500.0|0.0|161500.0|161500.0|0.0|0.0|-3.0
198|SalePrice|2|2|478686.0|239343.0|239342.75|239343.0|239000.0|1|50.0|235298.0|485.08|0|0.0|0|0.0|2|100.0|0|0.0|2|239000.0|239686.0|686.0|239171.5|239514.5|343.0|0.0|-2.0
200|SalePrice|7|2|397500.0|198750.0|189868.38|198750.0||5|71.43|6903125000.0|83085.05|0|0.0|0|0.0|2|28.57|5|71.43|2|140000.0|257500.0|117500.0|169375.0|228125.0|58750.0|0.0|-2.0
201|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
204|SalePrice|2|1|171000.0|171000.0|171000.0|171000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|171000.0|171000.0|0.0|171000.0|171000.0|0.0|0.0|-3.0
208|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
210|SalePrice|3|1|538000.0|538000.0|538000.0|538000.0||2|66.67|||0|0.0|0|0.0|1|33.33|2|66.67|1|538000.0|538000.0|0.0|538000.0|538000.0|0.0|0.0|-3.0
216|SalePrice|8|2|426500.0|213250.0|205560.21|213250.0||6|75.0|6441125000.0|80256.62|0|0.0|0|0.0|2|25.0|6|75.0|2|156500.0|270000.0|113500.0|184875.0|241625.0|56750.0|0.0|-2.0
217|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
220|SalePrice|1|1|207000.0|207000.0|207000.0|207000.0|207000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|207000.0|207000.0|0.0|207000.0|207000.0|0.0|0.0|-3.0
221|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
222|SalePrice|1|1|250000.0|250000.0|250000.0|250000.0|250000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|250000.0|250000.0|0.0|250000.0|250000.0|0.0|0.0|-3.0
224|SalePrice|6|5|1344294.0|268858.8|261669.38|268000.0|245500.0|1|16.67|4719027687.2|68695.18|0|0.0|0|0.0|5|83.33|1|16.67|5|177500.0|367294.0|189794.0|245500.0|286000.0|40500.0|0.16|-0.7
225|SalePrice|4|1|185000.0|185000.0|185000.0|185000.0||3|75.0|||0|0.0|0|0.0|1|25.0|3|75.0|1|185000.0|185000.0|0.0|185000.0|185000.0|0.0|0.0|-3.0
227|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
228|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
231|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
233|SalePrice|1|1|137500.0|137500.0|137500.0|137500.0|137500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|137500.0|137500.0|0.0|137500.0|137500.0|0.0|0.0|-3.0
234|SalePrice|1|1|155000.0|155000.0|155000.0|155000.0|155000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|155000.0|155000.0|0.0|155000.0|155000.0|0.0|0.0|-3.0
240|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
252|SalePrice|1|1|193500.0|193500.0|193500.0|193500.0|193500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|193500.0|193500.0|0.0|193500.0|193500.0|0.0|0.0|-3.0
255|SalePrice|2|0|0.0|||||2|100.0|||0|0.0|0|0.0|0|0.0|2|100.0|0|||||||0.0|0.0
256|SalePrice|3|0|0.0|||||3|100.0|||0|0.0|0|0.0|0|0.0|3|100.0|0|||||||0.0|0.0
259|SalePrice|2|2|316475.0|158237.5|158168.79|158237.5|162900.0|1|50.0|43477812.5|6593.77|0|0.0|0|0.0|2|100.0|0|0.0|2|153575.0|162900.0|9325.0|155906.25|160568.75|4662.5|0.0|-2.0
260|SalePrice|1|1|314813.0|314813.0|314813.0|314813.0|314813.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|314813.0|314813.0|0.0|314813.0|314813.0|0.0|0.0|-3.0
263|SalePrice|1|1|186700.0|186700.0|186700.0|186700.0|186700.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|186700.0|186700.0|0.0|186700.0|186700.0|0.0|0.0|-3.0
264|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
265|SalePrice|1|1|135500.0|135500.0|135500.0|135500.0|135500.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|135500.0|135500.0|0.0|135500.0|135500.0|0.0|0.0|-3.0
266|SalePrice|2|1|311872.0|311872.0|311872.0|311872.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|311872.0|311872.0|0.0|311872.0|311872.0|0.0|0.0|-3.0
270|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
271|SalePrice|1|1|119900.0|119900.0|119900.0|119900.0|119900.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|119900.0|119900.0|0.0|119900.0|119900.0|0.0|0.0|-3.0
273|SalePrice|1|1|201800.0|201800.0|201800.0|201800.0|201800.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|201800.0|201800.0|0.0|201800.0|201800.0|0.0|0.0|-3.0
276|SalePrice|1|1|190000.0|190000.0|190000.0|190000.0|190000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|190000.0|190000.0|0.0|190000.0|190000.0|0.0|0.0|-3.0
280|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
287|SalePrice|1|1|155000.0|155000.0|155000.0|155000.0|155000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|155000.0|155000.0|0.0|155000.0|155000.0|0.0|0.0|-3.0
288|SalePrice|4|2|313500.0|156750.0|156625.35|156750.0||2|50.0|78125000.0|8838.83|0|0.0|0|0.0|2|50.0|2|50.0|2|150500.0|163000.0|12500.0|153625.0|159875.0|6250.0|0.0|-2.0
291|SalePrice|1|1|185000.0|185000.0|185000.0|185000.0|185000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|185000.0|185000.0|0.0|185000.0|185000.0|0.0|0.0|-3.0
312|SalePrice|1|1|170000.0|170000.0|170000.0|170000.0|170000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|170000.0|170000.0|0.0|170000.0|170000.0|0.0|0.0|-3.0
322|SalePrice|2|1|250000.0|250000.0|250000.0|250000.0||1|50.0|||0|0.0|0|0.0|1|50.0|1|50.0|1|250000.0|250000.0|0.0|250000.0|250000.0|0.0|0.0|-3.0
342|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
348|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
374|SalePrice|1|1|280000.0|280000.0|280000.0|280000.0|280000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|280000.0|280000.0|0.0|280000.0|280000.0|0.0|0.0|-3.0
385|SalePrice|1|1|160000.0|160000.0|160000.0|160000.0|160000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|160000.0|160000.0|0.0|160000.0|160000.0|0.0|0.0|-3.0
396|SalePrice|1|1|275000.0|275000.0|275000.0|275000.0|275000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|275000.0|275000.0|0.0|275000.0|275000.0|0.0|0.0|-3.0
410|SalePrice|1|1|475000.0|475000.0|475000.0|475000.0|475000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|475000.0|475000.0|0.0|475000.0|475000.0|0.0|0.0|-3.0
440|SalePrice|1|1|250000.0|250000.0|250000.0|250000.0|250000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|250000.0|250000.0|0.0|250000.0|250000.0|0.0|0.0|-3.0
480|SalePrice|1|1|256000.0|256000.0|256000.0|256000.0|256000.0|1|100.0|||0|0.0|0|0.0|1|100.0|0|0.0|1|256000.0|256000.0|0.0|256000.0|256000.0|0.0|0.0|-3.0
490|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
576|SalePrice|1|0|0.0|||||1|100.0|||0|0.0|0|0.0|0|0.0|1|100.0|0|||||||0.0|0.0
